1-27	2017/12/31	2017	12	31	1.290322581	0	0.00
1-21	2018/3/31	2018	3	31	1.290322581	0	0.00
1-22	2018/4/28	2018	4	28	1.333333333	2	2.67
2-24	2018/8/31	2018	8	31	1.290322581	0	0.00
4-12	2018/8/31	2018	8	31	1.290322581	0	0.00
4-12b	2018/8/31	2018	8	31	1.290322581	0	0.00
1-20	2018/3/12	2018	3	12	1.290322581	19	24.52
1-10	2017/12/31	2017	12	31	1.290322581	0	0.00
1-08	2017/11/30	2017	11	30	1.333333333	0	0.00
1-02	2018/6/30	2018	6	30	1.333333333	0	0.00
1-11	2017/12/22	2017	12	22	1.290322581	9	11.61
1-06	2017/12/3	2017	12	3	1.290322581	28	36.13
1-64	2018/1/4	2018	1	4	1.290322581	27	34.84
1-68	2018/10/15	2018	10	15	1.290322581	16	20.65
1-69	2018/10/15	2018	10	15	1.290322581	16	20.65
1-12	2017/9/30	2017	9	30	1.333333333	0	0.00
1-16	2018/9/30	2018	9	30	1.333333333	0	0.00
1-17	2018/9/30	2018	9	30	1.333333333	0	0.00
1-18	2017/9/30	2017	9	30	1.333333333	0	0.00
1-09	2017/11/30	2017	11	30	1.333333333	0	0.00
7-24	2017/11/30	2017	11	30	1.333333333	0	0.00
1-29	2018/9/10	2018	9	10	1.333333333	20	26.67
1-31	2018/5/30	2018	5	30	1.290322581	1	1.29
1-13	2017/12/18	2017	12	18	1.290322581	13	16.77
1-41	2018/11/30	2018	11	30	1.333333333	0	0.00
1-19	2018/9/30	2018	9	30	1.333333333	0	0.00
9-52	2018/5/21	2018	5	21	1.290322581	10	12.90
1-01	2017/11/30	2017	11	30	1.333333333	0	0.00
1-04	2017/12/7	2017	12	7	1.290322581	24	30.97
1-05	2017/6/30	2017	6	30	1.333333333	0	0.00
1-55							
9-20	2019/7/6	2019	7	6	1.290322581	25	32.26
1-57	2018/9/30	2018	9	30	1.333333333	0	0.00
1-46	2017/11/30	2017	11	30	1.333333333	0	0.00
1-54							
之江公寓1	2017/11/30	2017	11	30	1.333333333	0	0.00
之江公寓2	2017/11/30	2017	11	30	1.333333333	0	0.00
1-67	2017/4/5	2017	4	5	1.333333333	25	33.33
1-58	2017/12/31	2017	12	31	1.290322581	0	0.00
9-43	2019/4/16	2019	4	16	1.333333333	14	18.67
1-37	2017/11/30	2017	11	30	1.333333333	0	0.00
2-20	2018/12/4	2018	12	4	1.290322581	27	34.84
