事件ID: 事件总数    最后一日事件数
ui.main.MainActivityNew2: 8979    479
ui.main.WelActivity: 20104    322
ui.main.HomeActivity: 14009    239
2: 483083    128
ui.neib.NeibCircleActivity: 12775    122
82: 2154    100
ui.register.LoginActivity: 4033    70
76: 64455    49
ui.register.RegMobileActivity: 1338    47
ui.register.RegPwdActivity: 687    36
HomeActivity: 13673    33
MainActivity: 65149    29
ui.web.MainWebViewActivity: 2679    29
WelActivity: 22655    25
ui.register.RegMsgSecondActivity: 519    21
ui.register.RegSuccessActivity: 475    18
ui.homeland.HomeLandListActivity: 2172    17
ui.main.SettingActivity: 740    16
ui.main.MainActivity: 27982    12
ui.appraisal.ApprpostChoose: 497    8
ui.other.AccountActivity: 50    8
com.itianluo.ui.register.RegMobileActivity: 775    7
ui.task.TaskCenterActivity: 1268    7
main.WelActivity: 11687    6
ui.task.TaskPostActivity: 754    6
ui.through.ThroughChooseActivity: 363    6
SettingActivity: 1088    5
ui.neib.NeibActActivity: 1047    5
com.itianluo.ui.register.LoginActivity: 1347    4
com.itianluo.ui.register.RegMsgSecondActivity: 345    4
com.itianluo.ui.register.RegPwdActivity: 428    4
ui.appraisal.AcceptedComplaintActivity: 552    4
ui.appraisal.ApprFeedBackActivity: 167    4
ui.appraisal.AppraisalCenterActivity: 458    4
ui.neib.NeibMsgActivity: 586    4
ui.other.FeedbackListActivity: 129    4
com.itianluo.ui.register.RegSuccessActivity: 223    3
main.MainActivity: 18670    3
ui.main.AboutActivity: 109    3
AppraisalCenterActivity: 806    2
com.itianluo.ui.neib.NeibCircleActivity: 15023    2
ui.other.CallActivity: 302    2
ui.pay.PayBackSuccessActivity: 185    2
ui.register.ModifyDetailActivity: 114    2
ui.through.ThroughActivity: 101    2
CallActivity: 618    1
com.itianluo.ui.register.ModifyDetailActivity: 149    1
ui.homeland.DiscloseActivity: 231    1
1: 27966    0
10000002: 1140    0
12: 227    0
20: 428    0
24: 36735    0
25: 12    0
26: 5388    0
27: 97    0
34: 1567    0
46: 5    0
6: 54    0
7: 194    0
9: 6033    0
AboutActivity: 191    0
AccountActivity: 230    0
ApprFeedBackActivity: 214    0
ApprpostActivity: 1522    0
ApprpostChoose: 1535    0
ClauseActivity: 15    0
DoorActivity: 6    0
FeedbackListActivity: 133    0
H5Activity: 28    0
H5ChatActivity: 1388    0
LoginActivity: 1216    0
ModifyDetailActivity: 75    0
NeibActActivity: 355    0
NeibCircleActivity: 10951    0
NeibMsgActivity: 750    0
PayBackSuccess: 3    0
PublishedActivity: 695    0
RegMobileActivity: 429    0
RegMsgSecondActivity: 120    0
RegPwdActivity: 193    0
RegSuccess: 129    0
RegSuccessActivity: 39    0
TaskCenterActivity: 191    0
TaskPostActivity: 499    0
ThroughActivity: 139    0
ThroughChoose: 257    0
ThroughChooseActivity: 112    0
appraisal.AcceptedComplaintActivity: 377    0
appraisal.ApprFeedBackActivity: 67    0
appraisal.AppraisalCenterActivity: 351    0
appraisal.ApprpostChoose: 380    0
com.itianluo.express.ui.main.MainActivity: 6    0
com.itianluo.express.ui.main.WelActivity: 1    0
com.itianluo.express.ui.register.LoginActivity: 1    0
com.itianluo.ui.neib.NeibActActivity: 94    0
com.itianluo.ui.neib.NeibMsgActivity: 933    0
com.itianluo.ui.pay.PayBackSuccessActivity: 494    0
com.itianluo.ui.task.TaskCenterActivity: 598    0
com.itianluo.ui.task.TaskPostActivity: 941    0
com.itianluo.ui.through.ThroughActivity: 231    0
com.itianluo.ui.through.ThroughChooseActivity: 543    0
com.itianluo.ui.web.H5Activity: 229    0
com.itianluo.ui.web.H5ChatActivity: 2960    0
com.itianluo.ui.web.MainWebViewActivity: 261    0
homeland.DiscloseActivity: 16    0
homeland.HomeLandListActivity: 222    0
homeland.ReplayDiscloseActivity: 24    0
main.AboutActivity: 66    0
main.ClauseActivity: 2    0
main.HomeActivity: 4268    0
main.SettingActivity: 422    0
neib.NeibActActivity: 331    0
neib.NeibCircleActivity: 7207    0
neib.NeibMsgActivity: 396    0
other.AccountActivity: 7    0
other.CallActivity: 65    0
other.FeedbackListActivity: 37    0
park.MyParkActivity: 39    0
park.ParkDetailActivity: 15    0
park.ParkInfoMapActivity: 216    0
pay.PayBackSuccessActivity: 109    0
publish.PublishedActivity: 177    0
register.LoginActivity: 1098    0
register.ModifyDetailActivity: 14    0
register.RegMobileActivity: 318    0
register.RegMsgSecondActivity: 103    0
register.RegPwdActivity: 161    0
register.RegSuccessActivity: 137    0
selected.SelectedPersonActivity: 142    0
task.TaskAppraisalActivity: 1    0
task.TaskCenterActivity: 321    0
task.TaskPostActivity: 306    0
through.ThroughActivity: 134    0
through.ThroughChooseActivity: 337    0
ui.device.DeviceDetailActivity: 9    0
ui.device.DeviceListActivity: 14    0
ui.homeland.ReplayDiscloseActivity: 73    0
ui.homeland.TaskActivity: 91    0
ui.main.ClauseActivity: 9    0
ui.park.MyParkActivity: 63    0
ui.park.ParkDetailActivity: 33    0
ui.park.ParkInfoMapActivity: 222    0
ui.publish.PublishedActivity: 209    0
ui.selected.SelectedPersonActivity: 164    0
ui.task.TaskAppraisalActivity: 4    0
ui.web.H5Activity: 1    0
ui.web.H5ChatActivity: 1335    0
web.H5Activity: 27    0
web.H5ChatActivity: 1079    0
web.MainWebViewActivity: 544    0
