事件ID: 事件总数    最后一日事件数
首页: 265167    1024
我的: 100763    667
邻里圈: 126615    465
我的快递: 151453    451
账单列表: 5214    342
详情: 69216    196
运单信息: 58638    179
生活缴费: 24882    162
爱家田螺客服: 10208    76
个人资料: 6347    73
个人详情: 8782    64
报修详情: 19818    63
维修报修: 11637    62
投诉详情: 20802    61
登录: 7724    56
投诉表扬: 8246    51
个人信息: 2847    40
我的邻里圈资料: 898    36
填写手机号: 3656    35
我的报修单: 5037    34
房屋信息: 1986    26
设置密码: 2092    26
注册成功: 1633    24
出入申请: 3754    23
投诉: 2730    20
消息: 11633    18
留言并评价: 1222    18
通行证: 1270    18
更多: 3783    17
历史签收: 8249    14
账单详情: 2418    14
小区收支: 121    13
关于浙地人家快递领取的通知: 36    12
其他: 544    9
室内漏水: 523    9
支付成功: 2427    8
访客申请: 1315    8
常用电话: 1464    7
我的出入申请: 1489    7
投票: 3104    7
投诉具体人员: 532    7
景江苑业主服务中心专业服务2018年3月份工作计划: 16    7
爆料详情: 1340    7
xiaoqudongtai: 56    6
车位信息: 1284    6
邻里、社区、物业一家亲——公明物业元宵活动圆满落幕: 18    6
邻里生活: 883    6
未评价: 354    5
关于小区油漆保养的温馨提示: 19    4
关于我们: 774    3
我的账单: 14593    3
专题详情: 284    2
发生地点: 456    2
天水最可爱的人，是他们奋不顾身第一时间冲进火场！: 66    2
意见建议: 462    2
昵称: 76    2
欢迎回家: 93    2
浙地人家业主，欢迎您回家: 11    2
物品放行申请: 476    2
车位详情: 295    2
迎新送福，“自己写春联”活动特刊！: 75    2
邻里求助: 267    2
门禁: 336    2
【新春送福】天水家园物业服务中心送春联啦！: 44    1
不文明养狗行为大曝光: 87    1
个性签名: 24    1
今天，景江苑除雪防冻第一线的背影: 50    1
任务详情: 99    1
修改姓名: 285    1
公明物业向您问好: 49    1
关于39幢114单元一楼通道着火情况的通报: 89    1
关于不在小区燃放烟花爆竹的倡议: 72    1
关于不在小区燃放烟花爆竹的倡议书: 22    1
关于小区用户电表箱相继起火及处置情况报道: 67    1
关于开通天水家园交纳物业费渠道的告知: 270    1
关怀暖人心|社区、业委会慰问物业安保人员: 63    1
厨卫: 259    1
新手操作指南: 167    1
条形码扫描: 402    1
电梯: 392    1
表扬详情: 2177    1
这款超管用的App，你真的不要下一个?: 10    1
邻里活动: 69    1
邻里闲置: 177    1
: 882    0
      维护全体业主利益  保护小区公共车位: 23    0
    腊八节来一碗腊八粥: 73    0
 景江苑业主服务中心专业服务2018年1月份工作计划: 45    0
 温馨提醒: 80    0
2017年10月物业服务工作报告: 58    0
2017年8月逸郡小区物业服务工作报告: 70    0
2017年9月逸郡小区物业服务工作报告: 81    0
2017年度逸郡小区优秀志愿者表彰: 31    0
2017年逸郡客服中心工作总结暨2018年工作目标: 20    0
2018元旦特别活动开始咯，快来瞧瞧吧~: 139    0
2018年1月物业服务工作报告: 30    0
2018年度物业费缴费优惠活动: 15    0
7-8幢无主车辆认领的通知: 34    0
mobileEditor测试: 1    0
zzzzzzzz: 26    0
|紧急提醒|下雨！下雪！刮大风！最凶险的天气来了~: 25    0
|紧急提醒|大降温！下雨！下雪！刮大风！最凶险的天气来了~: 4    0
“同心同力”备战双十一: 106    0
【保卫】你堵住的不仅仅是楼道，是生命通道！: 39    0
【圣诞老人来敲门】-发帖: 60    0
万源城“邻里美食节”活动通知: 49    0
万源城逸郡第一届业委会工作回顾 暨2017年工作总结: 9    0
与业主关系: 77    0
世界狂犬病日宣传活动: 13    0
业主大大，物业喊你批阅近期工作汇报啦！: 264    0
业主真实姓名: 84    0
业委会重点工作会议纪要: 46    0
中元节温馨提示: 59    0
中秋假期值班告示: 35    0
为您的安全出行开道: 35    0
亲子活动大片集锦，快看谁是最萌“景江宝贝”！: 116    0
从今天开始，迎接春节！: 39    0
付款: 4011    0
代收2016年费用的通知: 75    0
住宅公共维修费: 173    0
停水通知: 96    0
停车场: 199    0
催费通知: 40    0
元宵民俗游园会: 18    0
元宵灯谜活动-发帖: 5    0
元旦特别活动-发帖: 148    0
免费参加消防演习，增强应急求生能力-发帖: 17    0
免费注射狂犬疫苗通知: 62    0
公共权益声明: 39    0
公共水电: 126    0
公共照明: 459    0
公共设备: 221    0
公告: 78    0
公明物业向全体业主问好: 123    0
公明物业向您问好！: 8    0
公明物业在天水家园（一期）干了啥？: 35    0
共创美好家园: 66    0
共创美好家园-工程整改: 92    0
关于1-2单元停电通知: 81    0
关于13幢42单元自行车库配电箱起火的情况说明: 67    0
关于2016年杭州马拉松滨江段交通管制的温馨提醒: 96    0
关于24幢49单元自行车库漏水维修通知: 72    0
关于2月5日白天短时停电的通知: 57    0
关于2月8日白天间歇性停电的通知: 45    0
关于之江社区文艺演出通知: 58    0
关于停车费到期的温馨提: 44    0
关于停车费到期的温馨提醒: 70    0
关于公共部位清理的紧急通知: 70    0
关于加强丰巢快递柜前快递堆放管理的通知: 60    0
关于单元楼道及地下室车库清理通知: 100    0
关于及时缴纳物业服务费及水费的公告: 49    0
关于召开2018年逸郡业主迎春座谈会的通知: 43    0
关于召开业主大会对外墙渗水施工单位确定的通知: 50    0
关于园区老鼠消杀工作进度通告: 53    0
关于地下车库维修的通知: 28    0
关于外墙渗水维修顺延的通知: 21    0
关于外墙渗漏修补的温馨提示: 31    0
关于外来人员必须提前验证后方可进入的通知: 39    0
关于天水家园39幢114单元一楼通道着火情况的通报: 4    0
关于安全使用电梯的温馨提示: 61    0
关于对儿童乐园塑胶地坪进行更新的公告: 41    0
关于对公共区域进行蚊虫消杀的通知: 4    0
关于对外墙渗水施工单位投票的通知: 16    0
关于对外墙渗水面积重新统计的通知: 21    0
关于小区中、高层区停水的公告: 205    0
关于小区入口标识牌更换的工作推进报告: 135    0
关于小区楼道、地下室杂物清理通知: 67    0
关于延长太实物业服务期限的公告: 75    0
关于开展2018年度物业费缴费优惠活动的公告: 14    0
关于快递员包裹寄存物业中心流程: 31    0
关于快递领取的温馨提示: 128    0
关于招募小区志愿者公告: 121    0
关于景江苑小区2016年度消防演习的通知: 35    0
