1B,每日组织召开项目日会：1、了解及沟通协调各部门工作；2、对工作任务进行布置，落实执行人；3、可拍摄会议现场或会议纪要作为记录。,当天重点工作能分配派发完成，每项任务都有执行人,D,1,1,项目负责人,项目负责人
1C,每天巡查园区及外围，内容包括：1.【保洁】多个单元楼、园区及外围的卫生是否达到要求；2.【绿化】无病虫害、无杂草、无鼠洞、无枯死、定期修剪；3.【安全】人员、车辆、环境、消防等是否存在安全隐患；4.【设施设备】电梯、照明、给水排水、供配电等设施设备是否正常运作，有无损坏，是否有管理维护记录。,1.卫生符合要求、主管巡查及管理到位；2.绿化无病虫害、绿化带无生活垃圾、及时修剪；3.无未经许可人入园、车辆无乱停乱放、园区无安全隐患，安全无管理缺失，有管理记录；4.电梯运行正常、照明正常、门禁及弱电可正常使用，有维护及管理记录；,D,1,1,项目负责人,项目负责人
1C,检查每日投诉、报修、咨询记录：1.关注处理及时率、处理完成率、有无特别事件；2.对重点事项及时督办。,客服负责人有监督记录，处理及时率不低于90%，当天完成率不低于80%,D,1,1,项目负责人,项目负责人
1C,装修管理监督：抽查装修管理制度是否执行到位，是否有违规装修。,1.装修户100%已办理装修申请；2.装修户100%每天有人巡查；,W,1,7,项目负责人,项目负责人
1C,巡查配电房，内容：1.防鼠、防虫、防潮、防涝、防火等设施是否定期检查或更换；2.保养效果与标准是否符合要求；3.维保或管理记录是否规范完整。,1.房门有上锁，房内无水患，无垃圾无杂物堆放，防鼠挡板完好、工具摆放整齐；2.设备完好无损，无安全隐患；有按要求巡查，定期保养，,W,1,7,项目负责人,项目负责人
1C,巡查电梯机房运行及维保情况，内容要求：1.环境整洁、干净，无明显灰尘，无杂物，无鼠患；2.设备无异响及隐患，环境温度符合要求，设备运行正常,1.轿厢内无异味、无垃圾、年检证在有效期内、按键及层显正常；2.电梯机房温度合理，设备无异响、无水患、无明显灰尘，钢丝绳无起股断股现象，平层标识清楚，油封油量足够；3.有按时保养，设备运行正常。,W,1,7,项目负责人,项目负责人
1C,巡查水泵房，内容要求：1.泵体、管道、控制柜、水位报警、储压罐、水箱等设施完好，有日常巡视及保养记录。,1.控制柜有编号有标识；2.水泵运行无异响，管道无滴水漏水，压力值在安全范围内，水流导向指示清楚可见，测试排水泵可正常启动；3.水池水箱检修口上锁；                      4.有及时维保养及管理记录；,W,1,7,项目负责人,项目负责人
1C,巡查排水系统，内容要求：1.天面天台、排水口、排水沟、集水井、污水泵等设施设备是否正常；2.有问题及时通过发布任务安排人员处理。,1.楼顶天面无垃圾堆放；天面排水口无堵塞；2.地面排水沟无垃圾，排水通畅；3.集水井垃圾及时清掏、积水不得超过排水口最高点；4.测试污水泵可正常启动。,W,1,7,项目负责人,项目负责人
1C,巡查消防设施设备，内容要求（根据分管范围选择）：1.消防联动主机是否运行正常；2.室内消防栓箱内消防栓是否出水、灭火器压力及保质期是否正常、消防水枪水带是否完好；3、室外消防栓是否出水、压力是否充足。,1.探头可正常显示、无遮挡，定期记录情况；2.消控主机正常运行，设备无损坏，每次警报及时派人核实并有记录；3.消防设备齐全，无损坏无丢失，水管压力正常，灭火器压力正常，消防通道无堵塞，应急照明正常等。,W,1,7,项目负责人,项目负责人
1C,每周多次对供应商人员上班人数进行抽查，了解工作人数和工作要求是否达标。,无缺人少岗；单个人员连续缺岗时间不超过合理范围,W,1,7,项目负责人,项目负责人
