1B,每日抽查4名驻场服务人员的工作着装、形象和岗位纪律,,D,1,1,项目负责人,项目负责人
1C,园区道路内(包含车库）建筑垃圾、生活垃圾、垃圾房、绿化垃圾堆放点进行巡查,,D,1,1,项目负责人,项目负责人
1C,抽查监控中心管理,,W,1,7,项目负责人,项目负责人
1B,每周1次对供应商人员上班人数进行抽查,,W,1,7,项目负责人,项目负责人
1B,每月至少组织1次培训,,M,1,31,项目负责人,项目负责人
1A,拟定并提交月度排班（每月28日前）,,M,1,31,项目负责人,项目负责人
1A,提交月度上月工作总结及本月计划（每月30号）,,M,1,31,项目负责人,项目负责人
1B,下班前查看是否有遗留未完成，有待交接事宜（今日无遗留同样提交，标注无遗留）,,D,1,1,前台客服,前台客服
1A,财务收费日报，发送项目经理及财务,,D,1,1,财务,财务
1C,每天至少抽查3个单元及园区道路；抽查内容：清洁卫生、门禁关闭、违章停车和垃圾堆放（绿化、装修）、公共报修、装修巡查、电梯运行、各岗位值岗、垃圾房等,,D,1,1,前台客服,前台客服
1A,财务收费周报，发送项目经理及财务（上周四到本周四）,,W,1,7,财务,财务
1A,每月28日前提交《月度总结及计划》至项目经理,,M,1,31,前台客服,前台客服
1A,档案整理（租户资料、业主资料、装修资料等，装订成册），并放置业委会资料存档,,M,1,31,前台客服,前台客服
1A,物品放行条、通知通告的归档,,M,1,31,前台客服,前台客服
1A,报修遗留未完成情况汇总，上报项目经理,,M,1,31,前台客服,前台客服
1A,财务系统账务核对,,M,1,31,财务,财务
1C,每日抽查保洁3个楼道的卫生情况，及楼道生活垃圾、建筑垃圾堆放情况,,D,1,1,客服负责人,客服负责人
1A,每天提交项目日报，包括费用、维修、投诉情况,,D,1,1,客服负责人,客服负责人
1C,每天巡查一次小区各出入口（人、车出入口），地下车库出入口，公共道路情况,,D,1,1,客服负责人,客服负责人
1C,抽查至少3个设备房和设备间,,W,1,7,客服负责人,客服负责人
1C,抽查绿化养护标准（可分区域和编号）,,W,1,7,客服负责人,客服负责人
1C,抽查监控中心管理,,W,1,7,客服负责人,客服负责人
1C,抽查至少2个单元的楼道和屋顶（设备、清洁、安管）巡查情况,,W,1,7,客服负责人,客服负责人
1C,抽查至少2次地下车场（设备、清洁、安管）巡查情况,,W,1,7,客服负责人,客服负责人
1B,每周1次对部门上班人数进行抽查,,W,1,7,客服负责人,客服负责人
1B,每月至少组织1次培训,,M,1,31,客服负责人,客服负责人
1A,拟定并提交月资金使用计划和物料采购计划（本月提交下个月计划，每月25日前）,,M,1,31,客服负责人,客服负责人
1A,拟定并提交月度排班（每月28日前）,,M,1,31,客服负责人,客服负责人
1A,制定APP内月度公示资料，APP和小区公告栏公示上月总结和本月计划（每月5号),,M,1,31,客服负责人,客服负责人
1A,提交月度上月工作总结及本月计划（每月25号）,,M,1,31,客服负责人,客服负责人
1A,拟定并提交上月度财务收支报表（每月25号）,,M,1,31,客服负责人,客服负责人
1A,拟定并提交上月度收费进度与分析（每月25号）,,M,1,31,客服负责人,客服负责人
1A,专题会议（投诉、报修、表扬、物业费分析）,,Y,101,1231,客服负责人,客服负责人
1B,每天1次查看各岗位的交接班记录，确认签字,,D,1,1,保安负责人,保安负责人
1C,小区布点部位每4小时至少巡逻一次，发现异常并上报（重点商铺、车场巡逻）,,D,1,1,保安负责人,保安负责人
1B,每天2次，查看岗位纪律、人员仪容仪表、岗位环境,,D,1,1,保安负责人,保安负责人
1C,园区公共秩序：车辆停放至指定位置（重点机动车和非机动车），公共区域垃圾桶内生活垃圾和建筑垃圾堆放巡查，发现违规有处理记录，处理过程（每4小时一次）,,D,1,1,保安负责人,保安负责人
1C,巡视小区单元门禁、围墙等技防情况，发现异常及时处理和汇报（每4小时一次）,,D,1,1,保安负责人,保安负责人
1C,公共区域设备异常（包括安全隐患、卫生情况）记录并报修,,D,1,1,保安负责人,保安负责人
1C,巡查建筑垃圾、生活垃圾堆放点（垃圾房）、绿化垃圾堆放情况,,D,1,1,保安负责人,保安负责人
1A,召开部门周工作会议，上周工作总结及工作计划,,W,1,7,保安负责人,保安负责人
1B,每周至少组织1次员工培训,,W,1,7,保安负责人,保安负责人
1A,月度资料整理并汇总岗位车辆信息、入住率信息及未处理报修，每月交予业主服务中心更新一次,,M,1,31,保安负责人,保安负责人
1B,监控室内及周边清洁卫生进行整理，干净整洁，物品摆放有序,,D,1,1,监控岗,监控岗
1B,监控设备检查交接，发现异常记录并告知上级,,D,1,1,监控岗,监控岗
1A,物品及未完成事宜进行确认，签字移交，发现异常记录及时上报,,D,1,1,监控岗,监控岗
1A,监控室内进出人员必须登记在《监控人员进出登记表》中,,D,1,1,监控岗,监控岗
1B,监控室内及周边清洁卫生进行整理，干净整洁，物品摆放有序,,D,1,1,监控岗,监控岗
1B,监控设备检查交接，发现异常记录并告知上级,,D,1,1,监控岗,监控岗
1A,物品及未完成事宜进行确认，签字移交，发现异常记录及时上报,,D,1,1,监控岗,监控岗
1A,监控室内进出人员必须登记在《监控人员进出登记表》中,,D,1,1,监控岗,监控岗
1B,监控设备进行大扫除,,M,1,31,监控岗,监控岗
1A,物品移交进行确认，签字移交，发现异常记录并及时上报,,D,1,1,门岗,门岗
1C,装修户数每日至少巡查一次，无违规装修情况，发现异常记录并上报,,D,1,1,门岗,门岗
1C,小区布点部位每4小时至少巡逻一次，发现异常并上报（重点商铺、车场巡逻）,,D,1,1,门岗,门岗
1C,园区公共秩序：车辆停放至指定位置（重点机动车和非机动车），公共区域垃圾桶内生活垃圾和建筑垃圾堆放巡查，发现违规有处理记录，处理过程（每4小时一次）,,D,1,1,门岗,门岗
1C,巡视小区单元门禁、围墙等技防情况，发现异常及时处理和汇报（每4小时一次）,,D,1,1,门岗,门岗
1C,公共区域设备异常（包括安全隐患、卫生情况）记录并报修,,D,1,1,门岗,门岗
1A,汇总上报未处理情况，及时与服务中心取得联系，问询处理进展并记录,,W,1,7,门岗,门岗
1C,消防栓巡查并进行保养（全部覆盖），记录,,M,1,31,门岗,门岗
1A,月度资料进行整理，上交上级,,M,1,31,门岗,门岗
1A,物品移交进行确认，签字移交，发现异常记录并及时上报（每班次一次）,,D,1,1,门岗,门岗
1C,小区布点部位每4小时至少巡逻一次，发现异常并上报（重点商铺、车场巡逻）,,D,1,1,门岗,门岗
1C,园区公共秩序：车辆停放至指定位置（重点机动车和非机动车），公共区域垃圾桶内生活垃圾和建筑垃圾堆放巡查，发现违规有处理记录，处理过程（每4小时一次）,,D,1,1,门岗,门岗
1C,巡视小区单元门禁、围墙等技防情况，发现异常及时处理和汇报（每4小时一次）,,D,1,1,门岗,门岗
1C,公共区域异常报修，通过彩家进行报修，紧急情况上报负责人,,D,1,1,门岗,门岗
1A,汇总上报未处理情况，及时与服务中心取得联系，问询处理进展并记录,,W,1,7,门岗,门岗
1A,月度资料进行整理，上交上级,,M,1,31,门岗,门岗
1A,物品移交进行确认，签字移交，发现异常记录并及时上报（每班次一次）,,D,1,1,门岗,门岗
1C,地下车库公共秩序：车辆停放至指定位置（重点机动车和非机动车），公共区域垃圾桶内生活垃圾和建筑垃圾堆放巡查，发现违规有处理记录，处理过程（每4小时一次）,,D,1,1,门岗,门岗
1A,物品移交进行确认，签字移交，发现异常记录并及时上报（每班次一次）,,D,1,1,门岗,门岗
1C,地下车库单元门禁，发现异常及时处理和汇报（每4小时一次）,,D,1,1,门岗,门岗
1C,地下车库公共秩序：车辆停放至指定位置（重点机动车和非机动车），公共区域垃圾桶内生活垃圾和建筑垃圾堆放巡查，发现违规有处理记录，处理过程（每4小时一次）,,D,1,1,门岗,门岗
1C,进出车辆管理：对于陌生车辆进入进行登记，随时跟进监督,,D,1,1,门岗,门岗
