历史行情.指标排序沪深Ａ股 日期:2021-08-05,四 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
605020	永和股份	-9.86	31.10	23612318	747031424	51.79	64.40	70.55	化工	2.12	
300827	上能电气	0.00	129.29	0	0	95.82	92.12	88.11	电气设备	1.80	
300693	盛弘股份	-4.64	43.20	31246076	1331383552	82.29	84.05	81.45	电气设备	1.36	
002455	百川股份	1.22	19.12	120598552	2313700096	86.64	85.34	82.17	化工	1.32	
002176	江特电机	7.59	24.38	272909664	6529533440	90.03	86.66	83.18	电气设备	1.30	
300343	联创股份	-12.40	13.21	184368176	2548818432	57.46	67.38	71.57	化工	1.22	
300077	国民技术	-6.08	31.84	79677696	2595792384	42.95	57.45	64.34	半导体	1.14	
300681	英搏尔	11.10	77.70	4768272	339562464	74.68	75.95	75.40	汽车类	1.11	
002518	科士达	2.79	32.00	49890048	1600859008	80.77	80.18	79.35	电气设备	1.03	
300660	江苏雷利	2.07	40.00	7854194	313954528	91.97	89.67	84.69	电气设备	0.97	
300508	维宏股份	-5.46	56.95	7280699	411588224	82.44	82.13	78.92	软件服务	0.92	
003038	鑫铂股份	6.60	51.34	3961242	200231056	73.48	74.87	72.45	有色	0.88	
600210	紫江企业	1.29	8.61	108471256	960000704	89.91	87.52	84.08	广告包装	0.86	
300318	博晖创新	-4.72	13.13	113753016	1568162944	78.03	77.93	73.32	医疗保健	0.85	
600338	西藏珠峰	7.15	29.38	98920096	2820429056	67.21	66.93	66.98	有色	0.84	
002837	英维克	6.01	32.46	38774284	1185242496	98.27	94.57	87.54	工业机械	0.81	
600111	北方稀土	-2.22	47.58	257427824	12306081792	66.30	71.00	72.21	有色	0.76	
300712	永福股份	8.43	107.00	9945501	1050973760	71.63	73.16	73.51	建筑	0.76	
002533	金杯电工	3.33	9.00	56419688	496870272	73.95	74.37	73.99	电气设备	0.75	
300346	南大光电	-5.69	70.00	51470760	3635670784	60.82	67.70	69.05	元器件	0.75	
002356	*ST赫美	-5.02	6.06	8245000	49964700	76.69	80.91	80.67	商业连锁	0.71	
688789	宏华数科	3.75	281.15	714613	205657104	70.94	72.90	74.76	工业机械	0.70	
300329	海伦钢琴	-11.13	11.74	49518352	603058624	58.36	64.59	66.04	文教休闲	0.70	
688315	诺禾致源	8.58	68.49	2453609	161541600	85.20	76.00	67.44	医疗保健	0.69	
688499	利元亨	0.26	342.00	877052	299196832	83.48	80.55	78.81	工业机械	0.66	
300656	民德电子	-6.54	56.13	8029459	453051520	74.80	74.93	72.47	IT设备	0.65	
603396	金辰股份	10.00	106.95	4801364	495214496	71.56	72.00	72.69	工业机械	0.65	
600418	江淮汽车	7.17	19.43	230415632	4379992064	59.97	61.61	63.66	汽车类	0.64	
300311	任子行	-11.49	10.17	149410304	1549659136	44.53	52.31	56.92	软件服务	0.64	
300751	迈为股份	5.24	728.00	2257415	1634354432	79.55	76.58	73.33	工业机械	0.63	
688233	神工股份	1.80	89.00	14393957	1314324480	93.99	88.09	81.05	化工	0.63	
002140	东华科技	0.09	11.67	30098376	352578720	51.41	56.76	60.13	建筑	0.63	
300990	同飞股份	20.00	123.24	3510761	407915712	85.72	80.68	74.38	工业机械	0.62	
600010	包钢股份	-1.09	2.72	2255900160	6013052928	59.76	63.37	64.58	钢铁	0.61	
000831	五矿稀土	8.05	39.35	129902672	4997420032	71.14	70.46	70.10	有色	0.61	
300648	星云股份	-1.79	55.00	11197704	613695552	65.55	69.59	69.28	电器仪表	0.61	
002466	天齐锂业	0.91	111.00	84124480	9118198784	73.34	72.05	70.32	有色	0.61	
600888	新疆众和	-6.87	9.36	125489928	1176950400	60.80	67.29	68.71	有色	0.60	
002006	精功科技	-1.43	13.08	55007072	723756160	86.96	83.91	79.11	工业机械	0.60	
000572	海马汽车	6.15	8.28	229255200	1882022912	83.79	74.83	67.88	汽车类	0.60	
603315	福鞍股份	8.34	19.10	9828104	180528240	93.03	91.90	87.32	通用机械	0.59	
000155	川能动力	10.00	24.20	162183904	3756918528	77.27	71.96	68.10	电力	0.59	
300183	东软载波	20.01	25.79	80467736	1892927360	92.73	86.28	78.98	通信设备	0.59	
688559	海目星	-5.15	62.43	5233945	326589248	49.19	58.69	63.44	工业机械	0.58	
300480	光力科技	3.23	40.59	8023593	321100512	53.26	61.82	66.08	工业机械	0.58	
300101	振芯科技	6.77	30.60	79324720	2404311296	74.66	73.24	71.15	通信设备	0.57	
300382	斯莱克	-0.20	25.58	10503166	267600336	68.80	71.88	73.31	工业机械	0.57	
688520	神州细胞-U	0.19	70.25	2275556	161055392	73.36	68.62	65.60	医药	0.56	
300752	隆利科技	-3.71	31.11	8012329	250249456	44.54	54.58	59.12	元器件	0.56	
601877	正泰电器	3.96	49.66	63969216	3171837696	82.57	78.62	73.46	电气设备	0.56	
300679	电连技术	3.38	45.90	28510840	1317121536	82.46	75.11	70.42	元器件	0.56	
688128	中国电研	-3.58	35.58	6634243	237066144	71.47	72.16	72.52	工业机械	0.55	
300223	北京君正	0.85	162.98	13510988	2219092224	51.76	59.97	63.65	半导体	0.55	
300655	晶瑞股份	0.42	57.80	24512204	1386123008	63.95	67.75	69.03	化工	0.55	
603032	*ST德新	5.00	27.93	171140	4779940	81.35	76.36	72.82	公共交通	0.54	
300471	厚普股份	5.22	19.15	48081692	906045312	70.06	68.07	65.78	工业机械	0.54	
000762	西藏矿业	-2.80	48.19	53353828	2585065728	55.78	61.38	64.09	有色	0.54	
600816	ST安信	5.08	3.93	48045168	188798320	97.51	91.80	82.87	多元金融	0.54	
301031	中熔电气	4.26	196.65	2887755	571109760	76.08	74.31	73.65	电气设备	0.54	
688518	联赢激光	-2.94	34.36	8591147	296460608	64.44	69.28	70.85	工业机械	0.53	
002453	华软科技	0.10	9.84	23824204	236996880	87.18	84.19	77.62	软件服务	0.53	
300502	新易盛	1.62	46.46	31746384	1450641664	70.51	72.40	69.20	通信设备	0.52	
300813	泰林生物	-4.73	65.20	2955516	195273504	40.30	50.95	55.47	医疗保健	0.52	
002760	凤形股份	-4.83	41.40	4027900	168733088	60.99	67.19	69.70	通用机械	0.52	
300724	捷佳伟创	4.54	161.50	7499476	1208044672	62.59	62.96	62.06	工业机械	0.51	
688025	杰普特	-0.45	70.70	3140403	220669504	84.84	81.11	75.58	元器件	0.51	
002897	意华股份	-7.76	30.77	9538222	299033440	60.14	65.92	65.59	元器件	0.51	
688599	天合光能	7.18	48.98	36097228	1736543232	66.68	67.20	68.55	电气设备	0.50	
