历史行情.指标排序沪深Ａ股 日期:2021-08-06,五 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
605020	永和股份	4.95	32.64	20157316	640759360	57.34	66.87	72.07	化工	2.27	
300827	上能电气					95.82	92.12	88.11	电气设备	1.72	
300343	联创股份	19.98	15.85	222954800	3325676544	72.23	75.02	76.48	化工	1.69	
300693	盛弘股份	2.62	44.33	27756382	1196612864	83.74	84.87	82.13	电气设备	1.34	
002176	江特电机	6.23	25.90	228600016	5828724224	91.88	88.24	84.56	电气设备	1.33	
002455	百川股份	-2.09	18.72	95843328	1755238784	80.00	81.53	79.72	化工	1.18	
300681	英搏尔	-1.78	76.32	3939150	295026048	70.74	73.57	73.74	汽车类	1.12	
002837	英维克	10.01	35.71	37607048	1322693632	98.78	95.78	89.66	工业机械	1.02	
002518	科士达	1.19	32.38	43583384	1385544448	81.66	80.71	79.73	电气设备	1.01	
300077	国民技术	2.98	32.79	54386184	1761205248	47.44	59.27	65.33	半导体	1.00	
600338	西藏珠峰	10.01	32.32	47742616	1530053376	74.92	71.80	70.28	有色	0.93	
300508	维宏股份	-3.06	55.21	7100913	385333024	75.53	77.67	75.85	软件服务	0.90	
002533	金杯电工	10.00	9.90	57523484	546779648	81.76	79.42	77.73	电气设备	0.89	
300183	东软载波	12.76	29.08	88067496	2430283008	94.92	89.45	82.60	通信设备	0.83	
300712	永福股份	3.74	111.00	10142385	1073284800	74.88	74.98	74.70	建筑	0.82	
688499	利元亨	7.61	368.01	1108243	403650464	88.22	83.91	81.39	工业机械	0.79	
603396	金辰股份	10.00	117.65	5995611	686539136	78.77	76.59	75.77	工业机械	0.78	
003038	鑫铂股份	-3.21	49.69	2865900	142099744	64.05	69.40	69.04	有色	0.77	
300346	南大光电	0.86	70.60	49048448	3468876544	61.84	68.17	69.36	元器件	0.76	
300660	江苏雷利	-7.83	36.87	9053960	340204096	62.03	72.04	73.50	电气设备	0.76	
600210	紫江企业	-0.70	8.55	71360528	615053120	86.09	85.46	82.80	广告包装	0.75	
300311	任子行	0.10	10.18	115337976	1174451072	44.66	52.37	56.96	软件服务	0.71	
300329	海伦钢琴	1.02	11.86	39451224	466167968	59.33	65.11	66.41	文教休闲	0.70	
300318	博晖创新	-6.85	12.23	97384864	1208296448	63.65	68.40	66.89	医疗保健	0.69	
688789	宏华数科	2.07	286.98	530558	154126240	74.14	74.51	75.79	工业机械	0.65	
601877	正泰电器	2.68	50.99	50977240	2559182592	84.29	79.92	74.56	电气设备	0.65	
002819	东方中科	9.99	49.65	4853348	234561712	92.57	85.27	76.62	电器仪表	0.64	
002356	*ST赫美	-4.95	5.76	6659000	38355840	62.11	71.62	74.66	商业连锁	0.64	
688233	神工股份	-2.43	86.84	7349446	648077248	86.01	83.17	78.00	化工	0.64	
603032	*ST德新	5.01	29.33	341620	10019715	85.27	79.22	74.80	公共交通	0.64	
300648	星云股份	5.76	58.17	12351750	711735936	71.28	72.74	71.44	电器仪表	0.62	
300382	斯莱克	2.50	26.22	10009655	259172432	71.94	73.44	74.27	工业机械	0.62	
002140	东华科技	4.11	12.15	35284664	424851040	57.90	59.75	61.91	建筑	0.62	
600111	北方稀土	0.82	47.97	212781520	10248103936	67.39	71.51	72.53	有色	0.62	
300751	迈为股份	1.11	736.07	1762660	1304155776	80.41	77.16	73.74	工业机械	0.61	
002453	华软科技	4.47	10.28	28891684	295148032	91.14	86.76	79.72	软件服务	0.61	
