历史行情.指标排序沪深Ａ股 日期:2021-08-09,一 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
300827	上能电气	20.00	155.15	15238303	2129880576	97.22	94.15	90.56	电气设备	2.36	
605020	永和股份	9.99	35.90	21604728	738485312	67.00	71.44	74.91	化工	2.27	
300343	联创股份	1.83	16.14	209820256	3295676928	73.45	75.71	76.94	化工	1.46	
300693	盛弘股份	5.93	46.96	36496428	1683639296	86.79	86.63	83.59	电气设备	1.38	
002455	百川股份	9.99	20.59	100058056	1970032768	86.01	84.96	82.30	化工	1.23	
002176	江特电机	-4.56	24.72	266145088	6362832384	78.31	80.19	79.29	电气设备	1.07	
300508	维宏股份	5.54	58.27	7733514	434279616	79.21	79.78	77.46	软件服务	1.04	
300077	国民技术	1.86	33.40	66020008	2180173056	50.44	60.46	65.97	半导体	0.98	
300681	英搏尔	-6.18	71.60	2013584	143199296	58.14	65.88	68.37	汽车类	0.94	
002837	英维克	-4.42	34.13	29535686	999943104	84.26	85.70	82.53	工业机械	0.89	
600338	西藏珠峰	7.33	34.69	137812656	4625817088	79.56	75.04	72.58	有色	0.88	
300619	金银河	20.00	47.88	13446765	582029120	94.50	87.15	79.87	工业机械	0.83	
603396	金辰股份	-0.13	117.50	5333750	601034112	78.44	76.40	75.64	工业机械	0.83	
002518	科士达	-2.13	31.69	38819604	1206057472	74.15	76.64	77.08	电气设备	0.81	
002533	金杯电工	-3.64	9.54	61937456	610357696	71.48	73.14	73.33	电气设备	0.75	
002356	*ST赫美	5.03	6.05	17205188	98592880	68.96	74.68	76.43	商业连锁	0.73	
603032	*ST德新	1.98	29.91	8555208	256960960	86.66	80.30	75.57	公共交通	0.70	
300183	东软载波	-2.51	28.35	65457316	1812521728	87.86	84.71	79.43	通信设备	0.67	
300660	江苏雷利	-4.23	35.31	7256065	257834960	51.92	65.08	68.77	电气设备	0.67	
605117	德业股份	9.51	202.99	3374021	651084416	70.88	69.52	69.23	家用电器	0.66	
