历史行情.指标排序沪深Ａ股 日期:2021-08-10,二 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
300827	上能电气	12.15	174.00	14301121	2445123328	97.85	95.15	91.84	电气设备	2.95	
000792	盐湖股份	306.11	35.90	785246080	29924286464	97.63	95.84	92.95	化工	2.91	
605020	永和股份	10.00	39.49	6105951	237635280	74.60	75.50	77.54	化工	2.27	
300343	联创股份	10.97	17.91	182420272	3184194560	79.89	79.45	79.47	化工	1.54	
300693	盛弘股份	-2.62	45.73	43338832	2097662336	78.54	81.79	80.39	电气设备	1.24	
002455	百川股份	10.00	22.65	133280640	2937737728	89.99	87.70	84.55	化工	1.23	
300681	英搏尔	9.33	78.28	3387643	265476160	67.86	70.62	71.44	汽车类	1.16	
300508	维宏股份	-0.63	57.90	7567480	430441920	77.52	78.80	76.81	软件服务	1.05	
002176	江特电机	-7.85	22.78	260307328	6068098560	60.64	68.92	71.63	电气设备	0.95	
002837	英维克	-0.82	33.85	29086964	984952896	81.71	83.99	81.33	工业机械	0.87	
002356	*ST赫美	4.96	6.35	7917810	50271924	74.64	77.44	78.08	商业连锁	0.87	
300629	新劲刚	20.01	39.47	21768026	794069120	93.82	88.51	81.67	元器件	0.85	
603032	*ST德新	5.02	31.41	2372035	73674256	89.69	82.81	77.43	公共交通	0.84	
300346	南大光电	4.24	71.72	51646760	3615778816	62.76	67.67	68.86	元器件	0.79	
300619	金银河	1.55	48.62	15326212	770614080	94.72	87.52	80.28	工业机械	0.76	
688233	神工股份	-3.20	84.31	4714055	403229472	74.55	76.76	74.18	化工	0.75	
002518	科士达	-1.89	31.09	50231708	1618929792	67.65	73.14	74.83	电气设备	0.73	
002006	精功科技	4.60	15.25	42220200	625156544	93.86	89.78	84.34	工业机械	0.73	
002533	金杯电工	1.57	9.69	43213260	418694528	73.16	74.07	73.97	电气设备	0.72	
688556	高测股份	9.25	40.38	14589120	561123968	86.54	80.69	75.53	工业机械	0.71	
300648	星云股份	9.31	65.87	17470044	1156889856	81.54	78.91	75.88	电器仪表	0.70	
603396	金辰股份	-6.38	110.00	4549787	517651520	62.51	67.23	69.66	工业机械	0.70	
300660	江苏雷利	1.25	35.75	6319558	228797248	54.44	66.09	69.35	电气设备	0.70	
600338	西藏珠峰	-3.43	33.50	132398864	4570914816	71.57	70.60	69.75	有色	0.65	
300751	迈为股份	4.02	753.94	2129520	1596062208	79.34	76.74	73.68	工业机械	0.65	
601877	正泰电器	3.83	53.99	54334928	2929828352	87.95	82.68	76.87	电气设备	0.65	
000831	五矿稀土	-0.93	44.50	92168440	3993810688	78.86	75.81	73.88	有色	0.64	
300712	永福股份	4.58	119.01	10590175	1267365760	80.85	78.37	76.92	建筑	0.64	
300077	国民技术	-11.71	29.49	110647424	3612493312	35.03	50.22	58.76	半导体	0.63	
300318	博晖创新	0.09	11.64	77787968	910851264	55.58	62.87	63.07	医疗保健	0.61	
300329	海伦钢琴	1.07	11.37	33705520	379817536	53.35	60.82	63.18	文教休闲	0.60	
300183	东软载波	-7.16	26.32	61283464	1664624768	70.39	72.98	71.46	通信设备	0.59	
688508	芯朋微	3.70	150.88	3947871	596086976	65.88	66.05	64.94	半导体	0.58	
600210	紫江企业	-1.11	8.04	58624220	473583488	59.42	69.94	72.90	广告包装	0.58	
003038	鑫铂股份	2.00	47.34	2620226	123456784	52.80	61.55	63.84	有色	0.57	
000723	美锦能源	1.68	12.14	678596160	8399343104	91.16	83.48	75.52	煤炭	0.56	
300153	科泰电源	20.04	12.52	62294716	718260416	81.52	73.57	67.95	电气设备	0.56	
002819	东方中科	-3.02	48.44	5867551	287484768	80.36	78.58	72.88	电器仪表	0.55	
300656	民德电子	-2.24	49.21	7358445	368509824	52.87	60.69	62.82	IT设备	0.55	
002453	华软科技	1.13	9.85	35098528	346980992	65.31	72.34	71.82	软件服务	0.54	
603315	福鞍股份	2.78	18.50	6434464	118893928	70.80	76.73	76.90	通用机械	0.54	
300428	立中集团	15.00	20.78	50121984	1015565440	80.41	74.69	70.63	有色	0.54	
300772	运达股份	8.94	31.92	18016680	569375168	73.58	72.04	71.50	电气设备	0.54	
002667	鞍重股份	10.01	29.01	23558596	683384768	93.91	85.78	78.45	工程机械	0.54	
000829	天音控股	9.98	13.89	31942684	434869888	93.59	86.72	78.16	商业连锁	0.53	
000572	海马汽车	-4.91	7.75	154864656	1223503872	60.92	64.07	62.40	汽车类	0.53	
601126	四方股份	10.03	13.06	37644568	486242176	84.30	78.06	73.40	电气设备	0.53	
600490	鹏欣资源	0.00	6.41	125595504	807072640	81.56	77.26	72.80	有色	0.53	
688128	中国电研	-3.08	34.88	5049528	175478672	58.81	65.40	68.20	工业机械	0.52	
603324	盛剑环境	-3.43	79.96	1735945	138527760	71.74	72.96	71.81	环境保护	0.51	
300263	隆华科技	0.09	11.07	77351176	858871552	83.87	79.77	75.26	工业机械	0.51	
002121	科陆电子	7.26	7.24	132472160	951602432	77.65	75.25	72.11	电器仪表	0.51	
300382	斯莱克	-2.03	26.02	16640555	447702368	66.05	70.47	72.43	工业机械	0.51	
600888	新疆众和	-1.06	9.36	70082528	656145280	58.20	65.35	67.33	有色	0.50	
300855	图南股份	1.12	59.73	8421170	511435008	79.37	78.78	74.68	钢铁	0.50	
603800	道森股份	9.99	16.74	12512300	203924992	94.20	86.73	80.21	工业机械	0.50	
601139	深圳燃气	9.98	10.36	109017456	1079225472	77.87	78.74	76.88	供气供热	0.50	
002268	卫 士 通	4.16	32.83	89741736	2958103296	82.04	76.46	73.31	软件服务	0.49	
000733	振华科技	3.04	92.00	11507653	1055337408	67.33	69.27	68.46	元器件	0.49	
603279	景津环保	10.00	35.19	12792718	439908352	87.11	80.35	74.79	环境保护	0.49	
688599	天合光能	2.46	50.03	23671266	1195421312	66.67	67.08	68.36	电气设备	0.49	
600366	宁波韵升	10.05	11.06	36623712	405058272	74.57	72.51	70.71	矿物制品	0.49	
002897	意华股份	5.54	31.26	7837458	238912384	61.96	65.07	64.79	元器件	0.49	
300159	新研股份	20.05	5.27	282232864	1423315072	81.77	76.55	70.64	航空	0.48	
300661	圣邦股份	-3.21	331.99	3677634	1197919744	48.20	58.06	61.68	元器件	0.48	
600816	ST安信	2.19	3.73	58048388	213742000	70.56	74.61	72.70	多元金融	0.47	
300811	铂科新材	10.20	85.78	4409609	368809408	86.27	78.86	74.07	元器件	0.47	
002167	东方锆业	-0.81	11.00	68809656	752148800	81.44	76.46	72.98	有色	0.47	
600510	黑牡丹	1.82	9.49	53506672	514695488	96.96	91.24	82.85	房地产	0.47	
688310	迈得医疗	-1.01	44.25	3008397	139061440	87.59	80.17	72.69	医疗保健	0.46	
300900	广联航空	6.59	49.03	17896686	875478848	84.46	77.38	69.41	航空	0.46	
688663	新风光	5.20	35.61	7959283	286903360	67.77	67.88	66.97	电气设备	0.46	
002312	川发龙蟒	-2.07	11.83	70898384	845297408	60.78	64.76	65.26	化工	0.46	
688518	联赢激光	0.37	34.94	9192871	330243136	64.08	68.73	70.43	工业机械	0.46	
000506	中润资源	0.00	3.26	91304544	299393152	38.58	49.66	55.60	有色	0.46	
605117	德业股份	-7.48	187.81	4881155	955987264	55.80	60.73	63.64	家用电器	0.45	
300763	锦浪科技	-5.57	284.21	7915683	2342918912	55.98	59.55	62.07	电气设备	0.45	
688529	豪森股份	16.36	38.90	8418186	315819648	82.61	76.00	70.05	汽车类	0.45	
300670	大烨智能	20.04	11.26	28463678	305066880	82.45	76.15	70.88	电气设备	0.45	
603779	威龙股份	9.98	11.13	6066398	65819280	88.11	77.69	69.89	酿酒	0.45	
603115	海星股份	10.00	20.46	23305000	450851904	68.65	68.45	67.65	元器件	0.44	
688315	诺禾致源	-3.91	60.15	1901135	114239648	54.58	59.06	58.30	医疗保健	0.44	
300813	泰林生物	0.00	63.20	1824400	114078312	37.89	48.90	53.94	医疗保健	0.44	
603897	长城科技	4.32	40.83	9222802	375248928	90.15	83.62	78.74	电气设备	0.44	
300745	欣锐科技	-8.19	34.77	9866843	347936640	57.87	63.91	65.25	汽车类	0.44	
688033	天宜上佳	1.66	26.34	12836505	345482688	73.42	74.68	74.92	运输设备	0.44	
688390	固德威	-8.74	498.00	2177241	1140076672	50.83	57.63	60.65	电气设备	0.44	
002459	晶澳科技	3.88	68.54	16732046	1141296768	78.02	72.83	70.28	电气设备	0.44	
