细分行业 动量分值 个数占比
有色 23.018 45.133
化工 19.49 23.768
电气设备 17.473 28.182
工业机械 17.069 27.982
半导体 16.118 46.053
元器件 14.5 25.0
钢铁 4.738 27.869
航空 3.667 33.333
通信设备 3.053 15.267
通用机械 3.0 16.667
电器仪表 2.167 16.667
汽车类 1.5 8.333
建筑 1.341 10.317
软件服务 1.339 7.438
矿物制品 1.19 23.81
环境保护 0.962 9.615
广告包装 0.556 11.111
建材 0.456 7.595
医疗保健 0.415 5.932
IT设备 0.41 10.256
农林牧渔 0.321 6.41
房地产 0.295 4.918
运输设备 0.281 9.375
煤炭 0.257 8.571
纺织服饰 0.238 4.762
文教休闲 0.214 7.143
互联网 0.205 5.128
商贸代理 0.174 8.696
工程机械 0.143 7.143
医药 0.14 2.326
化纤 0.138 6.897
综合类 0.118 5.882
石油 0.114 5.714
公共交通 0.111 11.111
供气供热 0.111 5.556
日用化工 0.083 8.333
商业连锁 0.081 2.703
家用电器 0.077 3.846
多元金融 0.036 3.571
电力 0.014 1.429
食品饮料 0 0
银行 0 0
酿酒 0 0
酒店餐饮 0 0
造纸 0 0
运输服务 0 0
证券 0 0
船舶 0 0
电信运营 0 0
水务 0 0
旅游 0 0
家居用品 0 0
保险 0 0
传媒娱乐 0 0
仓储物流 0 0
交通设施 0 0
