历史行情.指标排序板块指数 日期:2021-07-26,一 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880715	磷概念	-2.96	1932.71		9489025024	64.57	70.64	71.28	0.30	
880505	稀缺资源	0.83	743.47		71664246784	87.37	80.81	72.80	0.27	
880535	稀土永磁	0.20	931.23		77198753792	86.42	81.46	75.12	0.27	
880899	钴金属	0.02	1215.02		51944407040	76.88	74.14	71.77	0.24	
880975	有机硅	-0.79	1651.95		13218072576	76.54	74.27	71.98	0.22	
880714	氟概念	0.06	2488.00		20814407680	71.18	69.53	68.97	0.20	
880534	锂电池	-0.67	2857.38		238491451392	65.68	68.58	69.46	0.17	
880800	氮化镓	1.06	1590.38		47774568448	79.74	74.54	71.27	0.17	
880588	绿色照明	1.63	2629.88		65504829440	83.69	78.67	74.19	0.16	
880910	草甘膦	-1.24	1964.54		6387998720	75.39	74.64	69.37	0.13	
880798	超级电容	-0.43	1583.47		25338664960	57.29	64.61	65.94	0.12	
880521	黄金概念	0.33	967.74		35918929920	81.55	72.71	63.38	0.12	
880955	乡村振兴	-2.50	1216.89		7930687488	62.76	68.78	66.80	0.11	
880551	涉矿概念	-0.43	1706.86		27307544576	63.14	69.02	67.40	0.11	
880925	特钢	0.17	1700.56		8821981184	82.95	74.86	67.79	0.11	
880584	石墨烯	-0.43	1701.55		45261701120	61.13	65.92	66.79	0.11	
880544	光伏概念	-1.01	3074.93		188308930560	72.15	72.33	70.67	0.11	
880964	特高压	1.81	1489.37		25447018496	91.24	83.22	73.92	0.11	
880710	种业	1.04	1583.20		7562598400	69.92	64.45	58.38	0.10	
880536	多晶硅	-1.61	3064.55		33495726080	62.09	64.66	64.43	0.10	
880701	国资驰援	0.58	1370.30		24773945344	63.26	67.50	67.85	0.10	
880520	智能电网	0.35	1972.00		55420223488	76.30	72.84	69.64	0.10	
880922	钛金属	1.22	1515.31		8801174528	74.44	69.73	64.22	0.10	
880974	烟草概念	-1.37	1484.43		3420072192	49.50	57.00	62.67	0.09	
880902	特斯拉	-1.07	3718.23		140981288960	54.64	60.56	63.53	0.09	
880951	新能源车	-1.85	1608.57		163982917632	57.78	63.30	65.34	0.09	
880583	充电桩	-0.19	3046.41		66678464512	74.85	72.35	69.87	0.09	
880952	芯片	0.25	1861.20		192772800512	78.52	71.21	68.08	0.09	
880571	碳纤维	-0.11	2079.03		16861407232	69.74	68.81	63.34	0.09	
880587	聚氨酯	-1.64	4269.53		15734922240	44.64	55.92	59.21	0.09	
880716	光刻机	0.43	2112.09		22252173312	72.38	67.90	65.04	0.09	
880977	BIPV概念	-1.20	1226.41		26901325824	68.92	70.40	69.99	0.08	
880558	节能	1.26	2414.06		22267475968	87.12	79.30	71.26	0.08	
880945	OLED概念	0.11	1595.45		71755186176	70.79	70.41	68.21	0.08	
880542	水利建设	-0.01	1072.31		9475677184	89.63	81.61	69.93	0.08	
880705	氢能源	-1.69	1123.30		56325537792	56.94	63.19	64.45	0.07	
880943	量子科技	0.97	1092.93		19628642304	78.77	71.03	64.25	0.07	
880957	工业互联	-1.67	1594.36		39599558656	59.07	61.86	60.07	0.06	
880581	空气治理	0.02	2315.83		12340413440	64.06	64.65	62.69	0.06	
880713	ETC概念	0.90	1331.38		13205874688	63.55	63.75	63.58	0.06	
880909	燃料电池	-2.12	1770.90		65634156544	61.17	64.29	64.02	0.06	
880507	国防军工	-0.29	1630.24		151195533312	75.92	69.20	64.00	0.06	
880560	高端装备	-0.57	1607.03		85784379392	77.56	71.51	63.70	0.05	
880586	土地流转	-0.67	1402.59		11232648192	62.00	63.39	62.16	0.05	
880582	风能	-0.25	1727.63		50699862016	69.28	69.06	65.50	0.05	
880569	3D打印	-0.65	2358.42		13572022272	64.75	65.21	63.02	0.05	
880926	垃圾分类	-0.91	974.24		19170971648	52.77	59.87	60.08	0.05	
880799	数据中心	0.06	931.92		28324403200	68.12	67.55	63.39	0.05	
880938	污水处理	-1.14	907.53		28795856896	49.89	58.01	59.92	0.05	
880971	降解塑料	-1.12	1200.85		17067210752	51.62	58.42	60.01	0.04	
880901	信息安全	-0.96	1998.89		27897487360	42.01	52.03	54.76	0.04	
880577	安防服务	-2.09	5035.66		37187178496	51.07	57.43	59.00	0.04	
880950	军民融合	-0.45	1093.88		101333426176	73.44	67.19	61.93	0.04	
880905	超导概念	-1.92	1596.62		8867828736	43.19	53.26	56.19	0.03	
880525	铁路基建	-0.89	1216.03		27894272000	65.19	63.39	59.51	0.03	
880547	电子支付	0.13	2213.75		18743148544	52.38	56.55	57.80	0.03	
880600	油气改革	-1.55	1099.94		4635651584	48.76	53.34	53.30	0.03	
880537	核电核能	-0.27	861.59		38750289920	74.10	69.08	62.46	0.03	
880575	地热能	-0.85	1445.96		2010935808	38.96	50.65	56.03	0.03	
880503	皖江区域	-1.73	1444.10		32816214016	53.86	57.52	57.79	0.03	
880796	医废处理	-1.46	1023.08		2734644992	39.31	50.22	54.15	0.03	
880965	超清视频	-1.84	1973.08		51324444672	49.84	56.27	57.83	0.02	
880506	5G概念	-0.87	1831.12		75193114624	51.95	58.04	59.72	0.02	
880967	数字货币	-0.45	1240.26		16330082304	41.54	50.54	54.61	0.02	
880523	黄河三角	-1.56	1625.06		23798874112	35.77	47.63	52.49	0.02	
880797	虫害防治	-1.66	1204.16		2357591552	45.49	53.03	54.15	0.02	
880911	雄安新区	-1.76	1616.87		46759182336	51.99	56.26	57.47	0.02	
880549	可燃冰	-0.89	1263.49		5894991872	54.16	55.08	54.23	0.02	
880904	智能机器	-0.69	3143.30		55061184512	45.28	53.28	57.52	0.01	
880533	物联网	-0.97	1592.66		89465847808	49.83	55.69	58.65	0.01	
880711	操作系统	-1.81	1091.11		20365072384	34.44	47.54	53.50	0.01	
880580	智能交通	-2.27	3259.48		20276516864	45.31	52.36	54.40	0.01	
880545	云计算	-1.44	2374.97		53074472960	38.86	47.91	52.21	0.01	
880954	大数据	-2.42	1210.45		80168189952	40.05	48.63	52.66	0.00	
880969	无线耳机	-1.29	1977.13		67949322240	46.83	53.16	57.17	0.00	
880546	卫星导航	0.20	2237.89		30760839168	63.02	59.30	58.64	0.00	
880949	智慧城市	-2.15	809.34		45747265536	39.85	49.00	53.09	0.00	
880568	生物质能	-0.62	1322.17		10386132992	43.41	51.78	53.40	0.00	
880939	无人机	-1.23	700.74		51232133120	56.84	57.07	56.00	0.00	
880930	汽车电子	-0.66	1837.43		63430197248	48.64	52.92	55.68	0.00	
880734	工业气体								0.00	
880733	人脑工程								0.00	
880732	三板精选								0.00	
880731	新材料								0.00	
880730	储能								0.00	
880729	CRO概念								0.00	
880728	航运概念								0.00	
880727	盐湖提锂								0.00	
880726	MCU芯片								0.00	
880725	MiniLED								0.00	
880516	ST板块	-1.13	1179.25		9000286208	35.49	50.26	60.00	-0.00	
880940	PPP模式	-1.43	441.97		37341839360	45.37	50.66	52.02	-0.00	
880919	粤港澳	-1.33	1508.78		10674162688	43.01	49.38	52.69	-0.00	
880524	含可转债	-2.03	1627.46		129144864768	38.88	48.68	53.41	-0.00	
880592	互联金融	-2.13	2053.05		19230230528	40.20	47.14	50.71	-0.00	
880531	武汉规划	-1.44	1236.99		15377679360	48.36	54.59	55.92	-0.01	
880942	虚拟现实	-1.54	819.07		53181169664	42.88	49.84	53.95	-0.01	
880540	创投概念	-1.68	1411.64		58239545344	35.66	45.48	50.64	-0.01	
880707	透明工厂	-0.91	1031.82		4227720704	40.50	49.07	53.65	-0.01	
880963	华为概念	-1.23	2271.94		167976681472	41.69	51.43	56.54	-0.01	
880589	智能穿戴	-0.33	2201.53		61097238528	42.68	50.32	54.14	-0.01	
880932	农村金融	-0.96	928.22		11236247552	29.80	40.35	44.47	-0.01	
880912	电商概念	-2.74	1389.31		10244263936	19.57	32.95	42.19	-0.01	
880720	字节跳动	-2.04	744.68		11603581952	28.15	39.29	44.74	-0.02	
880519	碳交易	-1.67	1301.21		30172672000	36.18	45.60	50.71	-0.02	
880921	阿里概念	-1.46	1129.72		26156464128	33.23	41.12	44.58	-0.02	
880706	分散染料	-1.84	632.20		2034683904	30.16	40.60	45.60	-0.02	
880968	胎压监测	-2.37	1563.30		3955687168	37.50	48.32	52.90	-0.02	
880923	赛马概念	-1.45	670.91		2011722752	31.39	38.66	42.50	-0.02	
880944	无人驾驶	-2.99	1605.84		49664819200	44.05	50.48	55.25	-0.02	
880553	页岩气	-1.38	1178.60		7322298880	36.99	43.99	48.05	-0.02	
880724	地下管网	-1.37	976.39		5939668992	0.00	0.00	0.00	-0.02	
880709	人造肉	-0.36	1202.39		4316300800	32.15	38.42	39.94	-0.02	
880594	一带一路	-1.34	1722.67		113454628864	37.00	45.04	50.15	-0.02	
880916	国产软件	-2.57	1888.67		28958253056	27.59	39.97	48.10	-0.02	
880567	海南自贸	-2.07	3299.01		15841218560	23.55	35.56	45.86	-0.02	
880795	口罩防护	-1.96	1554.73		51414110208	35.14	44.59	51.63	-0.03	
880970	分拆预期	-3.14	1472.12		94115471360	33.58	43.49	49.18	-0.03	
880917	央企改革	-1.35	1801.66		98240004096	28.36	40.01	47.93	-0.03	
880502	含B股	-2.61	1424.99		17965414400	18.11	32.07	42.70	-0.03	
880530	三网融合	-2.57	859.16		10189796352	23.75	36.52	43.93	-0.04	
880552	金融改革	-1.82	1480.67		21025021952	22.90	36.23	45.93	-0.04	
880722	鸿蒙概念	-4.72	1012.44		18261233664	34.71	42.27	45.22	-0.04	
880513	海峡西岸	-3.65	1506.69		30204715008	24.42	35.56	43.43	-0.04	
880948	人工智能	-2.99	1266.63		51040985088	28.75	40.21	47.78	-0.04	
880574	苹果概念	-1.28	3520.26		59401347072	32.98	45.47	52.56	-0.04	
880719	地摊经济	-4.20	1306.45		11038302208	37.77	46.41	51.61	-0.04	
880906	智能家居	-2.31	2453.02		42844286976	29.34	38.87	44.76	-0.04	
880591	上海自贸	-1.98	1825.98		13354301440	16.72	31.06	42.72	-0.04	
880526	长三角	-3.25	1578.45		50115039232	23.88	34.73	41.79	-0.04	
880961	小米概念	-1.03	1701.84		42179338240	33.47	42.54	48.85	-0.04	
880953	租购同权	-3.36	672.70		4075014912	21.96	32.96	41.06	-0.04	
880928	抗流感	-4.25	1846.41		27534456832	30.42	40.67	46.36	-0.04	
880794	远程办公	-3.82	1127.35		9423644672	20.08	33.96	43.28	-0.05	
880501	含H股	-2.20	1456.15		141430472704	28.73	35.04	40.86	-0.05	
880966	消费电子	-1.43	1597.07		43042549760	30.61	44.09	51.04	-0.05	
880704	工业大麻	-1.99	741.23		11121677312	24.08	35.57	44.25	-0.05	
880717	C2M概念	-3.03	1483.78		10046403584	28.63	39.02	45.94	-0.05	
880962	百度概念	-3.00	1169.02		10963742720	36.66	44.67	51.15	-0.05	
880935	智能电视	-1.27	1190.17		22895884288	29.39	40.05	47.38	-0.05	
880946	区块链	-2.47	813.42		71127654400	24.45	34.89	43.13	-0.05	
880528	环渤海	-1.73	1331.61		62259269632	26.64	33.59	40.46	-0.05	
880585	风沙治理	-1.00	1094.08		2057584000	38.06	45.82	51.53	-0.05	
880595	民营银行	-1.67	1889.18		27047649280	35.69	38.95	41.31	-0.06	
880959	知识产权	-2.40	734.40		5861075456	19.90	31.97	40.62	-0.06	
880931	装饰园林	-2.10	858.35		5203488256	28.55	35.54	40.52	-0.06	
880908	在线教育	-2.60	839.07		21231167488	27.65	33.21	39.40	-0.06	
880598	博彩概念	-2.68	1616.86		6341986304	19.64	29.43	38.92	-0.06	
880903	水产品	-2.14	610.78		660573184	15.85	29.30	39.42	-0.06	
880504	长株潭	-4.90	1550.76		23768739840	20.08	33.87	43.70	-0.07	
880557	生物疫苗	-4.84	4231.52		35617894400	26.23	36.34	42.94	-0.07	
880522	成渝特区	-4.78	2373.68		69326430208	23.02	34.15	42.29	-0.07	
880929	维生素	-1.69	1560.84		6091931136	23.12	32.42	38.19	-0.07	
880718	RCS概念	-3.71	900.27		7117819904	23.21	33.73	44.00	-0.08	
880791	网红经济	-2.87	904.27		14758459392	9.88	21.11	32.46	-0.08	
880920	免疫治疗	-6.15	1461.51		12478684160	32.04	40.50	46.46	-0.08	
880597	养老概念	-2.58	1112.05		13711906816	9.20	20.98	34.33	-0.08	
880593	婴童概念	-2.05	2148.16		11686654976	17.46	26.90	35.81	-0.08	
880529	次新股	-2.31	2459.85		68476014592	19.48	31.53	41.82	-0.08	
880590	网络游戏	-3.92	1008.28		22274887680	13.49	24.52	35.11	-0.08	
880596	体育概念	-4.03	1352.18		8289614848	18.74	27.64	35.56	-0.09	
880927	抗癌	-4.87	2316.01		32378763264	27.55	36.26	42.69	-0.09	
880956	腾讯概念	-2.73	646.82		5549894656	12.51	22.80	32.12	-0.09	
880933	智能医疗	-4.59	1506.51		26667083776	16.98	28.06	37.78	-0.09	
880941	跨境电商	-2.43	907.56		11072812032	11.85	20.22	28.63	-0.10	
880572	新零售	-2.69	1099.22		11745335296	10.30	19.67	29.91	-0.10	
880527	泛珠三角	-4.25	4175.64		119032856576	15.42	26.33	35.90	-0.10	
880913	基因概念	-4.03	2978.37		21798412288	19.82	32.31	41.23	-0.11	
880515	通达信88	-4.37	2578.74		128224854016	14.60	24.40	32.88	-0.11	
880563	食品安全	-1.32	2396.48		4535088640	11.14	21.17	32.05	-0.11	
880960	仿制药	-4.41	1150.87		25104805888	20.99	29.67	36.67	-0.11	
880556	IP变现	-4.75	928.68		7735102464	8.73	17.69	27.35	-0.11	
880976	新冠检测	-4.11	855.74		16898742272	21.39	29.91	38.11	-0.12	
880599	民营医院	-6.03	2549.48		35344338944	21.05	31.47	41.19	-0.13	
880564	白酒概念	-6.54	9135.84		64742338560	14.79	25.25	34.70	-0.13	
880973	医美概念	-5.81	1306.40		20442169344	15.83	26.68	37.82	-0.15	
880936	猪肉	-1.72	1905.00		8414992896	9.81	18.98	27.70	-0.17	
数据来源:通达信
