历史行情.指标排序板块指数 日期:2021-08-03,二 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880535	稀土永磁	-5.17	905.23		71951228928	49.73	57.80	61.26	0.20	
880714	氟概念	-3.43	2548.85		24856637440	59.36	62.77	64.78	0.18	
880716	光刻机	-5.57	2212.04		33151827968	56.43	60.94	62.14	0.15	
880505	稀缺资源	-5.66	709.37		70127583232	44.86	54.36	58.49	0.15	
880715	磷概念	-5.43	1722.96		8728841216	34.37	46.87	54.76	0.14	
880964	特高压	-1.55	1526.60		23028598784	66.11	67.63	66.86	0.14	
880910	草甘膦	-0.83	1958.41		6236208640	60.50	62.35	62.48	0.14	
880710	种业	1.42	1708.16		8408286208	78.91	71.99	64.86	0.13	
880588	绿色照明	-4.01	2611.12		64142319616	53.03	60.65	63.94	0.13	
880800	氮化镓	-5.91	1576.14		53623918592	48.97	57.29	61.47	0.13	
880583	充电桩	-3.34	3130.41		78415183872	59.82	61.77	63.13	0.13	
880544	光伏概念	-3.21	3103.75		195834068992	56.46	60.48	62.94	0.13	
880560	高端装备	-0.30	1656.43		93796179968	71.52	67.50	63.29	0.12	
880520	智能电网	-1.76	1984.62		52367302656	59.82	60.95	62.18	0.12	
880571	碳纤维	0.41	2163.83		15910028288	70.62	67.47	63.88	0.12	
880975	有机硅	-1.70	1567.06		12843563008	46.52	55.71	60.85	0.12	
880909	燃料电池	-1.78	1840.23		69948874752	63.82	63.42	63.08	0.12	
880957	工业互联	0.19	1671.93		56141295616	72.52	68.00	63.97	0.12	
880542	水利建设	1.99	1123.14		12628197376	82.89	77.94	71.72	0.11	
880584	石墨烯	-3.16	1708.96		40249716736	54.23	57.50	60.26	0.11	
880551	涉矿概念	-2.48	1754.97		33941157888	59.98	62.89	63.78	0.11	
880534	锂电池	-4.33	2809.35		241979899904	49.70	55.90	60.51	0.11	
880730	储能	-3.28	1106.45		133562318848	72.59	76.50	78.23	0.11	
880943	量子科技	-1.79	1106.92		22940542976	61.05	61.55	60.42	0.11	
880729	CRO概念	3.76	1122.13		13756879872	92.84	92.41	92.26	0.11	
880507	国防军工	-1.69	1651.06		147914260480	61.05	61.11	60.33	0.11	
880955	乡村振兴	-1.15	1196.29		6049004544	54.34	56.70	58.42	0.11	
880922	钛金属	-1.59	1456.51		5985467392	51.26	54.39	55.75	0.11	
880536	多晶硅	-1.42	3016.51		27902564352	51.24	55.82	58.81	0.10	
880569	3D打印	-1.46	2420.42		15009362944	63.50	63.02	62.06	0.10	
880950	军民融合	-0.96	1107.60		100410310656	63.34	61.32	59.45	0.10	
880899	钴金属	-5.33	1131.95		44671365120	40.66	49.72	54.89	0.10	
880558	节能	-0.48	2442.17		22207008768	66.68	65.70	64.66	0.10	
880901	信息安全	-0.30	2053.55		38920478720	61.30	58.76	57.73	0.09	
880928	抗流感	3.47	1993.20		40685740032	71.27	62.51	57.87	0.09	
880945	OLED概念	-3.74	1607.89		82806054912	51.31	58.10	61.38	0.09	
880925	特钢	-3.32	1614.67		7416673280	45.54	52.12	55.20	0.09	
880951	新能源车	-3.57	1612.76		162126774272	52.52	56.33	59.71	0.09	
880705	氢能源	-1.90	1115.39		54347563008	52.36	55.88	58.83	0.09	
880582	风能	-3.02	1761.34		62499860480	56.32	59.92	60.93	0.09	
880581	空气治理	-0.30	2335.06		15363264512	63.90	60.89	59.86	0.09	
880799	数据中心	-1.15	962.87		38254678016	66.59	66.08	63.95	0.09	
880952	芯片	-4.37	1866.35		216235343872	50.30	57.80	61.26	0.09	
880977	BIPV概念	-1.21	1202.74		20303009792	54.67	57.31	60.30	0.08	
880976	新冠检测	5.66	977.24		35643260928	77.52	65.97	58.67	0.08	
880920	免疫治疗	4.46	1614.84		14872589312	70.90	61.95	58.17	0.08	
880798	超级电容	-2.81	1561.52		18629036032	51.05	55.03	58.65	0.08	
880557	生物疫苗	4.55	4601.20		43774865408	69.32	59.82	55.23	0.07	
880701	国资驰援	-1.51	1364.67		16410152960	54.82	57.70	60.72	0.07	
880902	特斯拉	-3.03	3698.70		146971852800	50.78	54.76	58.56	0.07	
880939	无人机	-0.79	708.46		38795837440	60.68	57.38	55.82	0.07	
880506	5G概念	-1.95	1892.42		97914322944	60.34	61.68	61.65	0.07	
880797	虫害防治	0.43	1248.75		2769589248	70.35	63.99	59.86	0.07	
880905	超导概念	-1.93	1604.03		6796105728	52.49	53.54	54.81	0.06	
880713	ETC概念	-1.19	1337.01		12375665664	57.30	59.00	60.56	0.06	
880731	新材料	-1.47	1030.94		118032801792	75.95	79.56	81.13	0.06	
880525	铁路基建	-0.80	1223.94		30025676800	60.70	59.44	57.70	0.06	
880537	核电核能	-0.76	860.48		40351772672	58.81	58.39	57.37	0.05	
880711	操作系统	-0.77	1116.41		24180531200	55.62	54.57	55.78	0.05	
880545	云计算	0.52	2454.56		61831233536	66.17	59.79	57.62	0.05	
