历史行情.指标排序板块指数 日期:2021-08-05,四 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880535	稀土永磁	-0.96	943.45		77051518976	59.09	62.46	63.95	0.19	
880714	氟概念	-1.33	2676.38		22561515520	66.95	66.98	67.18	0.19	
880710	种业	4.39	1785.74		10889249792	86.13	77.58	68.99	0.17	
880975	有机硅	-1.01	1643.56		13364205568	61.70	62.52	64.19	0.15	
880730	储能	-0.72	1146.15		117484896256	76.04	78.65	79.89	0.15	
880505	稀缺资源	-1.65	730.56		61287501824	52.89	57.92	60.32	0.15	
880729	CRO概念	1.03	1155.59		12421007360	94.97	94.28	93.98	0.14	
880560	高端装备	1.07	1719.95		100261847040	80.30	73.84	67.86	0.14	
880544	光伏概念	-0.25	3270.34		185631883264	69.02	67.88	67.49	0.14	
880715	磷概念	-2.07	1772.04		7793174528	44.05	50.67	56.36	0.14	
880964	特高压	-0.93	1557.06		23520364544	67.94	68.88	67.88	0.14	
880583	充电桩	-0.47	3262.32		66758078464	67.84	66.87	66.43	0.13	
880588	绿色照明	-0.21	2727.56		58698989568	65.47	67.06	67.65	0.13	
880909	燃料电池	0.35	1898.68		67150864384	71.75	68.40	66.29	0.13	
880571	碳纤维	-1.63	2178.11		20450381824	65.57	65.37	63.12	0.13	
880551	涉矿概念	0.27	1819.27		34023458816	70.70	69.36	67.87	0.12	
880950	军民融合	2.16	1163.92		118069231616	77.10	70.54	65.49	0.12	
880910	草甘膦	-3.57	1916.51		5683021312	47.08	54.30	57.69	0.12	
880800	氮化镓	-1.39	1638.54		40255741952	56.88	61.08	63.49	0.12	
880922	钛金属	0.06	1491.17		7178527744	60.56	59.08	58.28	0.12	
880520	智能电网	-0.59	2062.78		55470112768	68.37	66.35	65.53	0.12	
880727	盐湖提锂	0.01	1048.65		49317814272	68.70	68.03	67.66	0.12	
880536	多晶硅	0.34	3235.32		33395630080	71.44	66.76	64.84	0.11	
880957	工业互联	-2.05	1676.00		40823410688	63.96	64.22	62.36	0.11	
880507	国防军工	1.60	1728.46		169717186560	74.20	69.37	65.55	0.11	
880542	水利建设	-1.17	1112.20		9155539968	70.23	70.87	67.71	0.11	
880925	特钢	0.26	1678.14		6749642752	58.19	58.85	59.08	0.11	
