历史行情.指标排序板块指数 日期:2021-08-06,五 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880714	氟概念	3.44	2768.56		25140344832	73.49	70.71	69.41	0.18	
880730	储能	1.63	1164.88		132884643840	79.29	80.76	81.58	0.17	
880535	稀土永磁	3.14	973.05		85587435520	66.40	66.34	66.29	0.17	
880710	种业	-1.00	1767.94		7746168320	78.67	73.88	67.10	0.17	
880727	盐湖提锂	2.27	1072.43		55485067264	72.84	71.11	70.31	0.14	
880544	光伏概念	0.64	3291.19		174673297408	70.59	68.78	68.05	0.14	
880583	充电桩	1.47	3310.35		75315052544	71.16	68.85	67.69	0.14	
880560	高端装备	0.20	1723.32		80546119680	80.73	74.15	68.09	0.14	
880975	有机硅	3.29	1697.57		12339073024	70.34	67.14	66.72	0.13	
880551	涉矿概念	1.83	1852.53		31619020800	75.51	72.31	69.79	0.13	
880588	绿色照明	-0.49	2714.30		54568443904	62.70	65.57	66.76	0.13	
880571	碳纤维	1.10	2202.06		15638590464	68.98	67.28	64.32	0.13	
880800	氮化镓	-0.24	1634.67		39390834688	56.06	60.60	63.19	0.13	
880964	特高压	0.45	1564.13		20005601280	69.48	69.72	68.40	0.13	
880950	军民融合	0.53	1170.10		99479355392	78.29	71.40	66.08	0.13	
880505	稀缺资源	3.60	756.84		74559021056	62.50	63.06	63.31	0.12	
880542	水利建设	1.61	1130.07		8983350272	76.31	74.46	70.23	0.12	
880520	智能电网	1.23	2088.19		55663718400	71.59	68.25	66.71	0.12	
880507	国防军工	0.23	1732.38		146293096448	74.78	69.75	65.79	0.11	
880534	锂电池	1.46	3026.81		265355345920	67.67	65.74	66.08	0.11	
880957	工业互联	-0.13	1673.79		36972150784	63.08	63.75	62.10	0.11	
880910	草甘膦	1.40	1943.31		4526817792	53.14	57.24	59.30	0.11	
880582	风能	0.96	1846.02		57458388992	71.58	69.20	66.90	0.11	
880558	节能	2.29	2534.63		21427789824	74.44	71.02	68.25	0.11	
880729	CRO概念	-3.13	1119.45		15373289472	66.28	72.19	74.73	0.11	
880909	燃料电池	0.27	1903.76		69833809920	72.48	68.84	66.57	0.10	
880925	特钢	1.51	1703.43		6967464960	63.05	61.41	60.55	0.10	
880922	钛金属	2.61	1530.08		8071678976	69.82	64.00	61.01	0.10	
880536	多晶硅	0.03	3236.18		28666296320	71.51	66.80	64.86	0.10	
880715	磷概念	4.83	1857.64		8138808832	56.57	56.88	59.74	0.10	
880584	石墨烯	1.69	1823.87		47486971904	71.84	67.99	66.70	0.09	
880716	光刻机	0.49	2220.07		22570522624	54.96	59.49	61.16	0.09	
880798	超级电容	2.56	1665.01		22508357632	70.31	65.75	64.70	0.09	
880705	氢能源	1.12	1187.84		56067649536	72.96	67.68	65.66	0.09	
880731	新材料	1.36	1062.70		115964977152	79.47	81.05	81.94	0.09	
880569	3D打印	1.37	2452.67		13152214016	64.59	63.73	62.61	0.09	
880955	乡村振兴	2.26	1219.06		7875985920	59.62	59.15	59.66	0.09	
880952	芯片	-0.23	1929.74		179181502464	60.78	63.18	64.20	0.09	
880905	超导概念	0.09	1701.83		7790166528	70.89	64.94	61.98	0.09	
880799	数据中心	0.66	968.53		30019348480	61.98	63.44	62.71	0.09	
880951	新能源车	0.91	1710.90		181572370432	67.81	65.23	64.89	0.08	
880943	量子科技	0.39	1118.51		18408318976	62.12	62.31	61.04	0.08	
880901	信息安全	1.67	2056.12		29193304064	58.20	57.33	57.00	0.08	
880506	5G概念	0.13	1930.38		76099108864	64.88	64.53	63.42	0.07	
880902	特斯拉	1.00	3940.26		158985486336	67.84	64.40	63.98	0.07	
880899	钴金属	4.15	1226.87		55205625856	63.76	61.82	62.12	0.07	
880945	OLED概念	0.07	1658.38		63784349696	61.58	63.57	64.49	0.07	
880537	核电核能	0.63	894.58		40678547456	76.19	69.68	64.68	0.07	
880977	BIPV概念	0.25	1213.86		19456829440	55.25	57.49	60.18	0.07	
880581	空气治理	0.18	2365.26		12634477568	66.99	63.19	61.33	0.07	
880939	无人机	0.18	734.78		43861405696	72.45	65.05	60.54	0.07	
880707	透明工厂	0.07	1082.49		5154490880	60.55	59.23	58.33	0.06	
880546	卫星导航	-0.13	2333.01		27813902336	69.55	64.16	61.30	0.06	
880701	国资驰援	1.14	1391.29		15563028480	61.36	60.97	62.34	0.06	
880521	黄金概念	3.76	971.40		33225222144	62.17	60.00	58.13	0.05	
880711	操作系统	2.38	1136.03		25447825408	61.36	57.89	57.41	0.05	
880525	铁路基建	0.00	1239.15		24560062464	67.16	63.37	60.24	0.05	
880503	皖江区域	0.68	1463.26		26448463872	58.22	56.78	56.35	0.05	
880545	云计算	0.57	2432.03		47552462848	54.69	54.69	55.02	0.05	
880797	虫害防治	0.47	1227.39		2145213184	55.51	56.13	55.65	0.05	
880920	免疫治疗	-4.01	1526.01		13502573568	44.42	48.83	50.89	0.05	
880531	武汉规划	0.34	1264.70		12639813632	64.89	61.20	58.94	0.04	
880795	口罩防护	0.06	1654.60		53462061056	66.40	61.69	59.83	0.04	
880547	电子支付	0.36	2260.88		17639219200	59.67	58.65	58.45	0.04	
880944	无人驾驶	0.26	1716.34		48335228928	66.85	61.99	60.34	0.04	
880904	智能机器	0.22	3262.72		50177130496	65.61	61.46	60.31	0.04	
880928	抗流感	-3.19	1909.80		35912699904	45.69	49.69	51.00	0.04	
880732	三板精选	1.71	1028.91		7822133760	100.00	100.00	100.00	0.04	
880713	ETC概念	0.47	1337.10		10170921984	54.39	57.26	59.51	0.04	
880963	华为概念	0.17	2378.73		155443183616	64.79	61.49	60.53	0.03	
880970	分拆预期	-0.12	1518.05		88854396928	61.99	56.99	55.27	0.03	
880595	民营银行	-0.41	1983.71		25609572352	66.69	59.41	53.56	0.03	
880533	物联网	0.33	1616.06		76205645824	56.71	56.54	57.75	0.03	
880911	雄安新区	-0.31	1644.25		37922160640	62.31	59.06	57.86	0.03	
880976	新冠检测	-3.84	912.29		23481444352	46.37	49.00	49.11	0.03	
880557	生物疫苗	-3.66	4418.96		41855811584	46.29	48.85	49.52	0.03	
880580	智能交通	-0.34	3223.11		20208635904	47.16	49.25	51.11	0.02	
880938	污水处理	1.30	919.25		29715695616	64.25	59.80	58.83	0.02	
880586	土地流转	1.45	1398.13		12332259328	64.57	58.73	57.34	0.02	
880930	汽车电子	-0.55	1911.13		58601984000	58.03	58.05	58.12	0.02	
880916	国产软件	-0.30	1953.95		28834181120	51.21	51.80	53.03	0.02	
880728	航运概念	0.59	995.53		8067527680	64.99	63.24	62.13	0.02	
880926	垃圾分类	0.94	976.19		16355751936	58.74	56.66	56.48	0.02	
880553	页岩气	0.96	1217.60		8576851456	71.01	60.64	55.93	0.02	
880734	工业气体	0.90	1003.33		12754454528	65.55	66.36	66.79	0.02	
880577	安防服务	0.34	4903.02		29312931840	50.02	50.40	52.66	0.02	
880971	降解塑料	1.33	1193.42		14761643008	51.20	52.63	54.78	0.02	
880968	胎压监测	-1.51	1603.34		3559244544	56.38	55.86	55.64	0.02	
880594	一带一路	0.11	1758.58		96330448896	66.31	59.32	56.19	0.02	
880969	无线耳机	-0.13	2058.28		60467544064	61.32	58.76	58.73	0.02	
880600	油气改革	1.17	1078.77		4589457920	47.92	49.07	50.16	0.02	
880954	大数据	0.07	1205.18		62803263488	47.12	49.09	51.27	0.01	
880719	地摊经济	-0.84	1318.69		8270139392	53.43	51.72	52.68	0.01	
880524	含可转债	-0.20	1661.41		107124146176	60.03	57.07	56.44	0.01	
880574	苹果概念	-0.02	3698.61		58434322432	64.86	60.31	58.55	0.01	
880949	智慧城市	-0.64	795.21		33761488896	41.62	45.58	49.18	0.01	
880720	字节跳动	0.86	759.64		13609978880	57.00	52.87	50.88	0.01	
880942	虚拟现实	-0.29	825.68		42961248256	53.13	52.78	53.92	0.01	
880919	粤港澳	-0.11	1521.58		9271152640	59.58	55.51	54.40	0.01	
880967	数字货币	0.28	1254.68		12222683136	52.19	52.98	54.60	0.00	
880923	赛马概念	0.66	679.88		2050490240	54.38	51.20	48.79	0.00	
880709	人造肉	-1.23	1222.72		3609076480	56.22	53.23	48.98	0.00	
880940	PPP模式	0.62	443.43		32104708096	60.83	55.19	53.15	0.00	
880549	可燃冰	1.70	1253.34		5023909888	55.47	52.69	52.13	-0.00	
880575	地热能	0.29	1473.63		2461584640	63.39	58.94	58.23	-0.00	
880589	智能穿戴	-0.35	2199.61		45066543104	49.85	50.58	52.58	-0.00	
880965	超清视频	-1.31	1927.31		34981339136	40.98	46.75	51.21	-0.00	
880540	创投概念	0.89	1416.34		58060922880	54.86	51.75	51.84	-0.00	
880568	生物质能	0.53	1306.63		7770478592	49.24	48.98	50.18	-0.00	
880725	MiniLED	-0.90	974.34		32555554816	45.54	47.16	47.80	-0.01	
880917	央企改革	0.28	1809.96		79810166784	59.04	51.89	51.14	-0.01	
880592	互联金融	0.15	2017.78		14761439232	46.56	46.59	48.23	-0.01	
880530	三网融合	0.72	859.49		7935694336	46.29	44.72	46.31	-0.01	
880948	人工智能	0.20	1292.97		41932214272	50.16	49.91	51.40	-0.01	
880974	烟草概念	-0.34	1452.44		4548833280	45.94	51.62	57.55	-0.01	
880906	智能家居	-0.29	2454.65		33283540992	50.71	47.59	47.60	-0.01	
880724	地下管网	0.51	989.07		4253211392	62.79	54.85	50.78	-0.01	
880523	黄河三角	-0.16	1630.02		23552151552	49.58	50.77	52.29	-0.01	
880722	鸿蒙概念	-0.19	1025.25		14845549568	51.52	49.08	48.52	-0.01	
880726	MCU芯片	-0.62	987.43		27870756864	47.16	47.12	47.15	-0.01	
880796	医废处理	0.65	1012.01		2629905408	54.11	51.12	51.90	-0.01	
880717	C2M概念	-0.44	1452.04		7231324672	40.18	40.86	44.66	-0.02	
880587	聚氨酯	0.44	4215.48		14529689600	48.19	50.91	53.99	-0.02	
880966	消费电子	0.16	1650.04		38775439360	63.69	56.91	55.42	-0.02	
880706	分散染料	1.00	625.99		1269425024	49.87	45.64	46.15	-0.02	
880563	食品安全	-1.18	2469.48		4906364416	43.05	43.06	43.27	-0.02	
880501	含H股	-0.19	1457.49		121380306944	48.04	44.30	44.42	-0.02	
880519	碳交易	0.26	1266.27		23850444800	45.22	45.13	47.56	-0.02	
880962	百度概念	-1.32	1181.46		10466361344	53.12	51.26	52.55	-0.02	
880927	抗癌	-3.16	2318.06		29305503744	41.12	43.18	45.26	-0.02	
880921	阿里概念	-0.45	1110.08		21525811200	42.62	43.68	44.65	-0.02	
880961	小米概念	-0.32	1714.27		35958177792	55.07	50.94	51.08	-0.02	
880794	远程办公	-0.69	1132.20		6777109504	42.99	43.71	46.31	-0.02	
880733	人脑工程	-1.65	999.52		5847455744	9.48	10.88	11.59	-0.02	
880704	工业大麻	-0.64	730.58		8527536128	40.42	40.94	44.11	-0.02	
880528	环渤海	-0.37	1328.51		48832331776	44.38	41.89	43.16	-0.02	
880718	RCS概念	0.24	915.13		6147345408	50.67	47.79	49.03	-0.03	
880929	维生素	-1.21	1515.47		3704988416	35.17	36.07	38.12	-0.03	
880516	ST板块	0.29	1170.23		6981224448	52.78	50.56	56.05	-0.03	
880946	区块链	0.11	812.16		57856712704	45.72	44.68	46.09	-0.03	
880593	婴童概念	-0.88	2136.57		11675804672	36.97	37.62	39.81	-0.04	
880567	海南自贸	-0.66	3240.90		11767828480	41.11	40.89	44.57	-0.04	
880504	长株潭	0.17	1550.54		18827325440	41.36	41.77	45.67	-0.04	
880959	知识产权	0.75	740.42		8008943616	49.91	45.88	45.85	-0.04	
880597	养老概念	-0.20	1143.56		13471335424	48.44	44.32	45.06	-0.04	
880598	博彩概念	0.15	1605.66		6384683520	45.07	41.92	42.84	-0.04	
880912	电商概念	-0.68	1372.95		9017364480	35.11	38.97	42.98	-0.04	
880933	智能医疗	-1.21	1509.46		17595990016	36.75	38.42	41.71	-0.04	
880526	长三角	-1.11	1536.41		35879239680	33.75	36.09	39.93	-0.04	
880935	智能电视	-0.30	1172.33		13813944320	45.15	43.61	46.56	-0.04	
880932	农村金融	-0.21	894.80		7589726208	40.56	39.95	41.35	-0.05	
880913	基因概念	-4.25	2970.40		26558654464	35.67	40.13	43.80	-0.05	
880502	含B股	0.09	1413.77		15401677824	45.17	42.17	44.73	-0.05	
880522	成渝特区	-0.21	2321.06		54982107136	43.24	40.88	43.07	-0.05	
880529	次新股	-0.98	2496.18		56220545024	46.99	45.44	46.86	-0.05	
880552	金融改革	-0.28	1436.73		13721568256	36.58	37.81	42.03	-0.05	
880953	租购同权	0.09	659.58		2687621888	34.87	36.21	40.48	-0.05	
880513	海峡西岸	0.43	1483.30		22064195584	44.57	40.98	43.76	-0.05	
880908	在线教育	-0.31	816.00		14907161600	32.22	34.74	38.40	-0.06	
880941	跨境电商	-0.37	897.62		7717447168	38.68	35.11	35.02	-0.06	
880599	民营医院	-1.64	2553.59		24378136576	37.42	39.77	43.91	-0.06	
880960	仿制药	-2.36	1122.76		24193550336	34.50	36.39	38.73	-0.06	
880527	泛珠三角	-0.49	4122.64		79353241600	39.17	38.00	39.90	-0.07	
880903	水产品	-0.28	597.70		366787264	37.93	37.50	40.43	-0.07	
880596	体育概念	-1.49	1321.15		7861532672	37.72	37.35	38.90	-0.07	
880591	上海自贸	0.10	1793.92		10813050880	41.78	38.99	42.86	-0.07	
880572	新零售	-0.66	1071.74		8912318464	30.20	29.81	32.83	-0.07	
880585	风沙治理	2.72	1037.22		1656030080	45.15	43.19	46.97	-0.08	
880791	网红经济	0.27	877.32		10195793920	29.94	29.85	33.82	-0.08	
880931	装饰园林	-0.05	830.70		4390026752	42.77	39.56	40.35	-0.08	
880515	通达信88	-0.45	2518.64		85066399744	35.73	34.12	36.01	-0.08	
880956	腾讯概念	-1.15	622.46		3696204032	20.89	24.71	30.58	-0.09	
880590	网络游戏	-0.52	964.81		17969680384	23.75	27.08	33.15	-0.09	
880973	医美概念	-0.69	1281.30		10495641600	29.89	32.24	38.61	-0.12	
880936	猪肉	0.18	1843.62		6588078080	36.63	31.12	31.62	-0.14	
