历史行情.指标排序板块指数 日期:2021-08-11,三 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880730	储能	5.70	1256.81		140121341952	89.97	87.96	87.30	0.26	
880727	盐湖提锂	0.63	1185.24		54595469312	85.72	81.27	79.15	0.26	
880505	稀缺资源	0.53	808.95		75949662208	74.35	70.16	67.73	0.19	
880714	氟概念	2.02	2786.75		20326926336	71.82	69.78	68.85	0.18	
880964	特高压	3.71	1653.21		34349813760	84.59	78.76	74.29	0.17	
880560	高端装备	0.27	1774.20		84987912192	86.72	78.61	71.36	0.17	
880535	稀土永磁	1.82	974.85		75742478336	65.17	65.16	65.44	0.17	
880710	种业	-0.08	1754.79		5756392960	72.47	70.91	65.62	0.16	
880950	军民融合	0.13	1203.15		103405707264	84.46	75.86	69.16	0.16	
880925	特钢	1.81	1761.65		7390853632	73.71	67.13	63.85	0.15	
880583	充电桩	2.77	3387.94		79815827456	74.67	70.72	68.82	0.15	
880975	有机硅	3.26	1768.61		13402956800	74.31	70.16	68.55	0.15	
880507	国防军工	-0.00	1771.18		155612217344	80.88	73.56	68.21	0.15	
880544	光伏概念	0.83	3294.06		181123121152	67.89	67.12	66.99	0.14	
880588	绿色照明	0.93	2692.82		50041024512	58.00	62.13	64.51	0.14	
880800	氮化镓	0.96	1603.90		34919022592	50.38	56.55	60.50	0.14	
880558	节能	2.53	2653.05		22759700480	85.46	78.63	73.42	0.14	
880905	超导概念	3.13	1797.98		10238422016	83.80	73.89	67.92	0.13	
880922	钛金属	0.94	1558.77		7537266688	75.94	67.46	62.96	0.13	
880716	光刻机	0.97	2231.87		21586880512	57.29	59.74	61.07	0.13	
880731	新材料	1.09	1093.93		108685852672	87.31	86.21	86.02	0.12	
880909	燃料电池	1.47	1913.52		88253710336	71.39	68.26	66.26	0.12	
880542	水利建设	1.60	1152.45		10159382528	83.22	78.59	73.15	0.12	
880520	智能电网	2.90	2137.78		62307110912	76.04	70.82	68.25	0.11	
880798	超级电容	2.53	1717.45		27569010688	76.40	69.60	66.95	0.11	
880705	氢能源	2.47	1208.73		74735771648	75.99	69.75	66.91	0.11	
880729	CRO概念	1.23	1119.56		7528691712	63.21	68.62	71.29	0.11	
880551	涉矿概念	0.55	1851.20		29724182528	72.46	70.75	68.92	0.11	
880571	碳纤维	-0.03	2194.22		16128236544	65.52	65.49	63.36	0.11	
880537	核电核能	1.51	927.12		43201015808	86.61	77.61	70.34	0.11	
880584	石墨烯	2.33	1859.11		47175147520	73.54	69.11	67.36	0.10	
880582	风能	1.50	1866.56		58761375744	73.69	70.24	67.58	0.10	
880534	锂电池	1.31	3025.61		239668690944	64.49	63.71	64.67	0.10	
880546	卫星导航	0.44	2377.03		29172254720	73.71	67.16	63.22	0.10	
880799	数据中心	1.32	999.34		33314387968	75.86	71.15	67.40	0.10	
880957	工业互联	-1.46	1681.95		34695974912	58.24	61.77	61.36	0.10	
880536	多晶硅	-0.21	3158.90		31376396288	56.77	59.89	61.22	0.09	
880701	国资驰援	1.41	1446.95		18392737792	76.40	69.27	66.94	0.09	
880952	芯片	0.43	1902.44		148223279104	52.72	58.39	61.40	0.09	
880569	3D打印	-0.38	2474.99		13636514816	65.95	64.83	63.37	0.09	
880939	无人机	-0.60	743.43		37978361856	71.92	66.15	61.56	0.09	
880943	量子科技	1.35	1145.91		20148361216	73.07	67.88	64.25	0.08	
880707	透明工厂	1.04	1121.43		5671247872	73.82	66.84	62.89	0.08	
880945	OLED概念	0.46	1654.41		61992206336	59.67	62.16	63.59	0.08	
880713	ETC概念	0.96	1378.37		11791101952	71.45	65.33	63.47	0.08	
880951	新能源车	1.62	1690.28		169755181056	60.25	60.76	62.07	0.07	
880910	草甘膦	0.92	1988.65		5907262976	63.63	62.20	61.98	0.07	
880904	智能机器	0.58	3352.70		54306676736	76.67	68.04	64.14	0.07	
880732	三板精选	1.32	1056.98		5580175360	100.00	100.00	100.00	0.07	
880525	铁路基建	0.37	1258.36		26724665344	76.83	68.73	63.50	0.06	
880595	民营银行	-0.13	2053.80		28108650496	77.25	67.31	59.08	0.06	
880506	5G概念	-0.65	1925.89		74946863104	59.32	62.24	62.36	0.06	
880521	黄金概念	0.29	964.16		23767988224	57.38	57.52	56.79	0.06	
880955	乡村振兴	1.13	1241.38		9537823744	67.30	62.99	61.80	0.06	
880899	钴金属	0.98	1205.48		38943760384	56.17	57.55	59.30	0.05	
880503	皖江区域	-0.04	1477.96		23086823424	62.55	59.13	57.77	0.05	
880944	无人驾驶	-0.14	1710.27		37049995264	62.37	60.06	59.32	0.05	
880547	电子支付	0.16	2296.56		15711523840	69.65	63.75	61.12	0.05	
880581	空气治理	0.58	2376.11		11891782656	66.87	63.48	61.58	0.05	
880715	磷概念	1.82	1880.27		7152595968	59.16	58.04	60.19	0.05	
880734	工业气体	2.38	1032.49		13208675328	77.75	76.16	75.52	0.05	
880902	特斯拉	1.17	3846.86		130068381696	55.47	57.64	59.92	0.05	
880926	垃圾分类	2.37	1015.59		20338536448	77.21	67.69	63.14	0.04	
880977	BIPV概念	1.04	1223.93		17980792832	59.96	59.14	60.87	0.04	
880531	武汉规划	0.23	1297.00		12230490112	79.39	70.11	64.15	0.04	
880968	胎压监测	-0.80	1623.37		3161303808	60.26	58.42	57.11	0.04	
880963	华为概念	0.23	2387.85		142975746048	66.42	62.29	60.95	0.04	
880594	一带一路	0.82	1798.89		116959420416	80.27	68.65	61.80	0.04	
880911	雄安新区	0.62	1663.83		46111580160	70.21	63.12	60.17	0.04	
880728	航运概念	1.00	1011.54		10300710912	75.20	70.45	68.13	0.04	
