历史行情.指标排序板块指数 日期:2021-07-19,一 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880324	有色	-0.39	970.39		108575424512	72.91	71.94	66.63	0.22	
880330	化纤	-2.55	3063.55		13212005376	67.38	66.66	60.67	0.21	
880446	电气设备	-1.12	2037.12		85942624256	50.19	59.97	62.77	0.14	
880335	化工	-1.29	1993.31		104652259328	57.48	65.67	67.72	0.12	
880497	综合类	-3.96	1056.65		7761408000	49.19	62.03	66.88	0.12	
880351	矿物制品	-0.62	1597.15		4769808384	73.57	74.43	70.02	0.12	
880318	钢铁	-1.48	1092.74		21315201024	67.31	65.19	60.27	0.10	
880491	半导体	-0.52	3290.33		51016347648	44.59	55.99	60.92	0.10	
880301	煤炭	0.42	776.19		12194805760	72.63	61.48	57.29	0.05	
880437	通用机械	-0.71	1299.17		10293792768	41.92	54.52	58.72	0.05	
880456	环境保护	-1.10	1266.58		10158859264	56.27	61.18	59.31	0.05	
880440	工业机械	0.65	1923.14		32544303104	56.80	61.56	62.50	0.05	
880447	工程机械	1.38	1210.17		11783397376	54.52	51.48	47.89	0.04	
880492	元器件	0.23	2741.89		70763888640	52.47	57.62	58.93	0.04	
880448	电器仪表	0.61	4923.38		13452001280	54.18	56.00	56.90	0.04	
880476	建筑	-0.84	1141.05		14306776064	55.04	58.51	56.26	0.04	
880367	纺织服饰	-0.02	1087.36		7926978048	53.24	56.65	58.67	0.03	
880400	医药	1.95	2879.26		74988396544	66.99	57.68	55.07	0.03	
880455	供气供热	-0.07	731.68		2574415616	69.97	61.00	54.63	0.03	
880424	旅游	4.60	4896.85		6174067712	58.46	51.02	47.77	0.03	
880421	广告包装	-0.29	1388.59		3106217216	59.28	58.60	55.53	0.02	
880344	建材	-0.86	1722.89		16936605696	47.63	48.69	48.11	0.02	
880465	交通设施	0.21	1442.23		1907289088	48.83	49.84	48.75	0.02	
880360	农林牧渔	-0.32	1915.29		21690036224	18.29	29.98	36.81	0.00	
880490	通信设备	1.43	1574.37		30458318848	61.16	58.30	57.06	0.00	
880493	软件服务	0.54	2752.44		58085847040	55.65	56.65	57.00	-0.00	
880459	运输服务	1.64	1096.08		11623900160	47.18	48.41	52.33	-0.00	
880430	航空	-0.44	2055.82		23082655744	66.52	60.49	57.47	-0.00	
880489	IT设备	0.87	1568.15		10232433664	61.34	57.60	56.86	-0.01	
880305	电力	-0.90	1478.84		20103829504	35.97	44.05	48.70	-0.01	
880390	汽车类	-0.16	2158.07		45032767488	35.46	46.91	53.19	-0.01	
880472	证券	-0.55	1491.75		24258684928	48.49	47.18	48.14	-0.01	
880494	互联网	-0.88	2196.24		13669411840	49.49	51.31	51.17	-0.01	
880454	水务	-0.32	1092.70		749248064	38.98	39.58	42.68	-0.01	
880452	电信运营	2.77	944.98		2347417600	69.70	57.53	52.22	-0.02	
880423	酒店餐饮	5.56	1431.63		1164492928	67.45	53.28	48.55	-0.02	
880471	银行	-0.09	2029.33		15498795008	42.48	40.77	42.64	-0.02	
880414	商贸代理	-0.74	1079.58		4693216256	55.87	55.38	58.00	-0.02	
880387	家用电器	0.39	4113.44		13865759744	41.62	41.47	42.19	-0.02	
880380	酿酒	1.01	8920.82		33945276416	56.01	49.41	49.32	-0.02	
880398	医疗保健	1.71	6420.81		26909208576	46.32	46.45	49.58	-0.02	
880453	公共交通	-1.09	898.98		397994944	37.28	44.46	49.35	-0.03	
880432	运输设备	-0.49	1148.97		1938590080	29.41	37.05	41.86	-0.03	
880474	多元金融	-1.39	1079.77		2437542656	15.04	27.82	37.51	-0.03	
880406	商业连锁	-0.15	868.09		7101158912	22.52	27.89	33.81	-0.03	
880350	造纸	-2.06	1578.67		4665269760	30.64	36.01	41.87	-0.04	
880482	房地产	-1.47	1288.79		12517148672	27.01	32.86	37.24	-0.04	
880399	家居用品	-0.07	3081.41		2534976512	35.57	36.59	39.95	-0.05	
880310	石油	-1.66	631.81		4190202624	15.43	30.41	42.99	-0.05	
880418	传媒娱乐	-0.74	956.86		6498897408	29.45	30.91	35.35	-0.05	
880431	船舶	-0.94	559.83		1379282176	32.57	36.38	41.32	-0.05	
880355	日用化工	-0.66	2001.57		1369432320	25.13	37.21	45.45	-0.05	
880464	仓储物流	-1.52	2003.34		5132190208	32.43	39.24	42.72	-0.05	
880372	食品饮料	-0.78	3475.18		17782556672	36.61	37.01	39.77	-0.06	
880473	保险	0.15	1870.67		6205693440	40.73	37.26	38.23	-0.06	
880422	文教休闲	-0.36	1968.66		3575290112	22.49	28.29	34.12	-0.07	
数据来源:通达信
