历史行情.指标排序板块指数 日期:2021-07-27,二 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880324	有色	-4.04	1016.55		146333024256	59.12	66.61	65.97	0.25	
880491	半导体	0.37	3724.88		152462557184	82.19	74.81	71.22	0.18	
880318	钢铁	-4.06	1101.50		28908097536	48.53	55.63	56.74	0.10	
880351	矿物制品	-4.13	1593.35		5895012352	41.41	55.84	61.45	0.09	
880430	航空	-1.45	2148.09		33178279936	64.20	63.26	60.16	0.08	
880335	化工	-3.92	1987.83		120967397376	40.01	53.29	60.20	0.07	
880330	化纤	-2.68	3014.11		13244368896	45.66	53.88	55.14	0.07	
880497	综合类	-4.87	1025.43		6627107328	33.59	47.75	56.59	0.06	
880440	工业机械	-2.92	1964.33		50553925632	48.44	57.70	61.03	0.05	
880446	电气设备	-6.06	2004.87		128393830400	34.27	48.42	55.91	0.04	
880437	通用机械	-0.97	1310.22		17407535104	42.03	52.89	57.68	0.03	
880456	环境保护	-1.93	1243.23		11549883392	33.20	45.95	51.57	0.03	
880301	煤炭	-2.11	750.34		15593878528	38.28	47.52	51.11	0.02	
880476	建筑	-2.88	1134.18		19938410496	37.18	46.77	50.74	0.01	
880490	通信设备	1.44	1549.15		42268205056	46.26	50.09	52.71	0.01	
880492	元器件	-1.15	2726.93		114135359488	39.19	50.39	55.41	0.01	
880448	电器仪表	-4.40	4813.11		24925165568	31.01	42.78	49.72	-0.01	
880489	IT设备	0.80	1529.10		12687024128	40.76	46.88	51.31	-0.01	
880455	供气供热	-1.13	706.04		2188488704	26.69	38.69	44.42	-0.01	
880453	公共交通	-1.97	890.12		520559648	30.62	40.08	46.67	-0.01	
880454	水务	-1.17	1089.61		875580224	39.40	42.19	43.80	-0.01	
880493	软件服务	-0.86	2635.05		61635907584	28.95	40.22	47.50	-0.02	
880390	汽车类	-2.66	2150.27		57818841088	35.54	44.41	50.70	-0.02	
880432	运输设备	-2.06	1141.78		2588837120	33.66	38.73	42.05	-0.02	
880421	广告包装	-2.51	1331.97		3540351488	21.59	33.61	41.93	-0.02	
880431	船舶	-2.42	558.65		3251763200	36.70	39.51	42.38	-0.02	
880447	工程机械	-3.84	1183.32		13476108288	35.12	42.62	44.80	-0.03	
880465	交通设施	-1.71	1379.22		2842623488	9.96	23.53	34.81	-0.03	
880452	电信运营	-0.12	906.76		2050523008	28.19	36.16	41.16	-0.04	
880414	商贸代理	-2.64	1032.91		4336940032	23.17	37.25	47.54	-0.04	
880472	证券	-3.06	1455.80		43707039744	31.62	39.10	43.91	-0.05	
880474	多元金融	-1.52	1058.95		3180123392	23.03	28.43	35.53	-0.06	
880305	电力	-1.69	1424.08		23322662912	16.05	29.19	39.81	-0.06	
880344	建材	-4.94	1607.82		22736908288	18.01	28.40	35.93	-0.06	
880367	纺织服饰	-2.26	1013.34		8604315648	10.22	25.38	39.37	-0.07	
880471	银行	-2.05	1920.46		21213777920	15.30	24.59	32.75	-0.07	
880494	互联网	-1.82	2006.26		12817985536	10.78	22.16	33.05	-0.08	
880310	石油	0.72	624.72		4882327040	31.80	33.90	42.35	-0.09	
880406	商业连锁	-1.57	818.60		7043820032	6.32	14.18	23.86	-0.09	
880464	仓储物流	-3.43	1844.52		5368465408	8.23	19.87	30.63	-0.10	
880482	房地产	-3.54	1181.73		18193600512	9.30	16.91	25.45	-0.10	
880459	运输服务	-3.06	988.40		11543311360	14.34	25.24	36.57	-0.11	
880400	医药	-3.35	2565.40		71191486464	17.63	28.89	38.23	-0.11	
880360	农林牧渔	-2.27	1832.42		18403072000	13.37	22.94	31.64	-0.11	
880387	家用电器	-3.53	3697.33		18002067456	8.19	18.03	27.65	-0.12	
880418	传媒娱乐	-2.73	886.59		8782760960	8.36	15.78	24.98	-0.12	
880350	造纸	-4.32	1439.73		4437920256	9.51	18.42	29.71	-0.13	
880399	家居用品	-4.35	2840.57		2820448256	7.54	18.36	29.34	-0.13	
880372	食品饮料	-3.12	3179.91		18268864512	10.86	20.09	29.04	-0.14	
880423	酒店餐饮	-1.55	1228.59		628221696	17.71	25.49	33.16	-0.14	
880473	保险	-3.21	1697.62		7801648128	16.10	23.34	29.90	-0.15	
880424	旅游	-3.31	4290.50		5267767296	20.15	29.73	36.23	-0.15	
880380	酿酒	-4.85	7605.32		53321580544	10.59	21.19	32.44	-0.16	
880355	日用化工	-2.68	1883.30		1997109632	13.16	26.72	38.48	-0.16	
880422	文教休闲	-4.46	1744.03		4341526016	5.57	13.20	22.72	-0.17	
880398	医疗保健	-2.56	5660.69		35666194432	14.99	26.26	36.64	-0.17	
数据来源:通达信
