历史行情.指标排序板块指数 日期:2021-08-04,三 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880430	航空	3.31	2284.49		23378716672	70.20	65.97	62.40	0.20	
880324	有色	4.71	1055.99		98444189696	58.96	61.92	62.94	0.18	
880447	工程机械	3.07	1365.13		22798333952	80.41	71.31	62.72	0.14	
880351	矿物制品	4.88	1753.48		7230138880	77.10	73.54	71.03	0.14	
880440	工业机械	3.03	2145.02		50641014784	71.84	69.69	67.99	0.14	
880491	半导体	5.17	3771.82		86233759744	56.44	60.40	63.00	0.12	
880446	电气设备	6.25	2257.39		134714949632	68.49	65.82	65.07	0.12	
880330	化纤	0.30	3180.73		11366027264	62.29	60.73	58.89	0.11	
880335	化工	3.80	2125.80		107306156032	67.09	64.82	65.30	0.11	
880318	钢铁	4.20	1122.22		23518806016	53.43	54.88	55.68	0.09	
880437	通用机械	2.82	1416.24		16904072192	74.56	70.09	67.22	0.09	
880490	通信设备	1.18	1659.87		36715585536	71.32	66.19	62.08	0.08	
880497	综合类	5.10	1066.58		6221124608	56.44	55.36	58.18	0.07	
880390	汽车类	3.37	2364.92		65426251776	69.11	63.70	61.14	0.07	
880489	IT设备	1.38	1607.61		10289744896	68.29	61.77	58.52	0.06	
880448	电器仪表	2.63	5115.24		22362015744	62.61	58.76	57.76	0.05	
880476	建筑	-0.19	1182.39		17856200704	68.91	64.47	61.18	0.05	
880492	元器件	3.41	2852.11		85737472000	63.61	60.75	59.82	0.04	
880344	建材	1.46	1781.33		20002351104	72.08	61.90	55.97	0.03	
880455	供气供热	1.03	730.37		2214688512	70.17	59.86	54.40	0.03	
880493	软件服务	0.53	2751.12		54630588416	64.60	56.81	55.09	0.03	
880301	煤炭	3.08	754.78		11831867392	51.58	50.78	51.76	0.03	
880456	环境保护	0.91	1261.97		9288030208	55.43	53.77	54.23	0.02	
880472	证券	-0.04	1484.22		29634222080	52.99	49.40	48.65	0.01	
880432	运输设备	-0.35	1167.30		2574568704	59.72	54.13	50.42	0.00	
880414	商贸代理	0.76	1054.06		3096683776	54.81	49.89	51.90	0.00	
880452	电信运营	-0.08	927.99		2095099008	62.82	52.73	49.06	0.00	
880454	水务	-0.21	1090.10		505083328	51.05	47.23	45.93	-0.00	
880400	医药	-0.21	2774.67		81420075008	59.56	51.72	50.17	-0.01	
880305	电力	1.07	1475.53		18395179008	63.78	53.47	50.69	-0.01	
880421	广告包装	1.05	1357.35		3042015488	54.77	49.43	49.08	-0.02	
880453	公共交通	0.82	890.34		287272224	54.27	47.92	48.50	-0.03	
880474	多元金融	-0.59	1070.57		2424329472	48.88	43.22	42.26	-0.04	
880431	船舶	0.35	550.65		1355977856	46.26	42.92	42.94	-0.04	
880387	家用电器	-0.36	3982.83		15014932480	60.81	48.99	44.24	-0.04	
880372	食品饮料	-1.71	3287.50		15958835200	45.50	39.19	38.40	-0.06	
880398	医疗保健	-1.47	6118.90		43444613120	51.97	46.87	46.95	-0.06	
880465	交通设施	-0.37	1372.65		2437759488	29.86	30.67	36.41	-0.06	
880367	纺织服饰	0.40	1028.24		7973434880	45.63	40.73	45.14	-0.06	
880350	造纸	0.50	1500.93		3652541440	48.83	39.29	39.52	-0.06	
880464	仓储物流	0.05	1921.44		3624968960	51.19	43.44	42.05	-0.07	
880406	商业连锁	-0.32	837.44		8411812352	48.18	37.84	35.59	-0.07	
880399	家居用品	0.47	2945.60		2469765376	47.20	38.45	38.27	-0.08	
880360	农林牧渔	-0.55	1864.77		14442980352	50.25	42.35	40.39	-0.08	
880310	石油	0.83	619.11		3639301632	39.99	36.69	42.10	-0.08	
880494	互联网	-0.41	2002.07		9587659776	32.90	33.12	37.24	-0.08	
880355	日用化工	0.53	1950.63		1623250432	55.50	44.97	45.50	-0.08	
880471	银行	-0.70	1901.56		12688496640	27.03	29.50	34.16	-0.09	
880424	旅游	0.23	4260.02		4633399296	41.87	38.29	39.36	-0.09	
880418	传媒娱乐	-0.92	883.47		6569942016	25.31	24.68	28.63	-0.09	
880422	文教休闲	0.44	1872.13		4214320384	53.84	41.68	38.09	-0.10	
880482	房地产	-0.56	1182.30		9944648704	23.96	24.06	28.58	-0.11	
880473	保险	-1.22	1697.92		5241059840	28.44	28.74	32.10	-0.13	
880459	运输服务	-1.14	989.36		10158021632	36.87	34.83	39.70	-0.13	
880380	酿酒	-1.59	7554.87		32458012672	33.88	32.93	36.76	-0.15	
880423	酒店餐饮	-3.21	1100.29		638476544	18.99	22.20	28.79	-0.21	
数据来源:通达信
