历史行情.指标排序板块指数 日期:2021-08-05,四 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880430	航空	3.74	2369.96		37375057920	76.60	70.23	65.18	0.19	
880324	有色	-1.34	1041.81		97264386048	54.37	59.08	61.16	0.16	
880447	工程机械	-0.43	1359.21		19918977024	77.72	69.92	62.00	0.15	
880440	工业机械	-0.17	2141.45		49291137024	70.75	69.08	67.63	0.13	
880351	矿物制品	-1.12	1733.88		6134702080	69.10	69.06	68.46	0.13	
880318	钢铁	-0.79	1113.34		21314660352	51.07	53.48	54.81	0.10	
880446	电气设备	-0.28	2250.98		128270475264	67.14	65.09	64.64	0.09	
880335	化工	-0.72	2110.60		106337943552	62.90	62.56	63.93	0.09	
880491	半导体	-0.14	3766.59		75311644672	55.98	60.12	62.83	0.09	
880490	通信设备	-0.36	1653.93		37543440384	68.27	64.66	61.29	0.07	
880390	汽车类	0.30	2372.11		60417208320	69.85	64.18	61.45	0.07	
880330	化纤	-4.61	3034.20		14313266176	44.35	50.86	53.32	0.07	
880437	通用机械	-0.52	1408.89		16685817856	70.41	67.80	65.88	0.07	
880301	煤炭	0.31	757.11		14885880832	53.23	51.65	52.18	0.06	
880455	供气供热	1.55	741.68		3367815936	78.30	66.00	58.07	0.06	
880476	建筑	-0.71	1174.00		17001016320	60.48	60.10	58.71	0.05	
880344	建材	-0.07	1780.14		19814506496	71.56	61.65	55.83	0.05	
880497	综合类	1.98	1087.65		6266384384	61.34	58.25	59.87	0.04	
880448	电器仪表	-1.21	5053.39		21483597824	55.58	55.11	55.70	0.03	
880431	船舶	6.51	586.51		5438489088	74.04	62.73	55.34	0.03	
880489	IT设备	-1.39	1585.33		9622702080	57.57	56.46	55.81	0.03	
880492	元器件	0.52	2867.08		92487245824	65.51	61.93	60.51	0.02	
880454	水务	0.95	1100.44		533254560	61.96	53.30	49.18	0.01	
880456	环境保护	-0.81	1251.72		9282100224	49.50	50.65	52.42	0.01	
880432	运输设备	0.11	1168.59		3220861440	60.59	54.65	50.72	0.01	
880452	电信运营	-0.88	919.84		1717587584	48.86	47.09	46.47	0.01	
880400	医药	-0.33	2765.54		84674674688	57.36	50.81	49.70	0.01	
880414	商贸代理	-1.18	1041.67		3176316928	46.05	45.90	49.73	0.00	
880493	软件服务	-2.60	2679.50		50701893632	47.31	48.44	50.51	-0.01	
880305	电力	0.26	1479.40		18014681088	65.71	54.70	51.35	-0.01	
880472	证券	-1.71	1458.85		26455468032	42.24	44.08	45.82	-0.01	
880421	广告包装	-1.47	1337.38		3147980032	43.31	43.53	45.65	-0.02	
880453	公共交通	-0.11	889.36		325854912	52.97	47.40	48.24	-0.02	
880387	家用电器	-0.02	3981.97		13466080256	60.64	48.92	44.21	-0.03	
880399	家居用品	1.02	2975.68		2438765568	56.27	43.44	40.62	-0.04	
880474	多元金融	-0.32	1067.10		2340322048	45.59	41.75	41.52	-0.04	
880372	食品饮料	0.36	3299.34		15454512128	47.98	40.57	39.13	-0.04	
880398	医疗保健	-1.26	6041.82		38532837376	47.01	44.58	45.70	-0.04	
880367	纺织服饰	-0.73	1020.70		7765427200	38.51	37.69	43.43	-0.05	
880406	商业连锁	-0.45	833.66		10371410944	43.63	36.05	34.70	-0.05	
880465	交通设施	-0.20	1369.96		2302622976	28.04	29.79	35.90	-0.06	
880310	石油	-0.60	615.40		4311591936	34.78	34.55	41.01	-0.06	
880355	日用化工	-1.41	1923.18		1368065024	46.45	41.38	43.73	-0.06	
880464	仓储物流	-1.29	1896.64		3529748480	42.84	39.85	40.20	-0.07	
880350	造纸	-1.91	1472.27		3598163968	36.24	34.04	36.81	-0.07	
880424	旅游	0.20	4268.71		4668630016	42.79	38.74	39.59	-0.07	
880360	农林牧渔	-0.28	1859.53		19998609408	48.28	41.52	39.97	-0.07	
880471	银行	-0.24	1896.97		11279270912	25.73	28.84	33.77	-0.07	
880422	文教休闲	-1.42	1845.56		5849419776	45.66	38.43	36.46	-0.09	
880494	互联网	-1.94	1963.23		10486084608	25.59	29.08	34.63	-0.09	
880482	房地产	1.21	1196.59		14516389888	39.52	31.59	32.31	-0.09	
880418	传媒娱乐	-1.90	866.67		6048176128	18.38	21.08	26.39	-0.09	
880473	保险	0.49	1706.18		7079975936	33.47	30.87	33.05	-0.10	
880459	运输服务	-0.36	985.83		7507850240	35.27	34.09	39.26	-0.12	
880380	酿酒	-1.60	7434.23		35413401600	30.35	31.10	35.63	-0.15	
880423	酒店餐饮	0.47	1105.49		531568928	21.70	23.49	29.41	-0.20	
数据来源:通达信
