历史行情.指标排序板块指数 日期:2021-08-06,五 指标:RSI(6,12,24)   EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	EXTRS20	
880430	航空	-0.06	2368.61		27056109568	76.29	70.08	65.10	0.19	
880324	有色	3.14	1074.48		113881686016	62.46	63.31	63.63	0.14	
880447	工程机械	0.02	1359.45		16423884800	77.76	69.95	62.02	0.13	
880351	矿物制品	1.89	1766.72		6529400320	74.43	72.16	70.34	0.12	
880440	工业机械	0.43	2150.70		46386896896	72.07	69.82	68.09	0.12	
880446	电气设备	0.35	2258.92		128156418048	68.07	65.60	64.94	0.10	
880491	半导体	-0.90	3732.75		78935105536	52.67	58.22	61.67	0.09	
880318	钢铁	1.59	1131.00		19740583936	55.73	55.92	56.23	0.09	
880490	通信设备	0.34	1659.61		38034497536	69.75	65.49	61.77	0.08	
880330	化纤	1.13	3068.44		9781231616	48.51	52.81	54.37	0.08	
880335	化工	1.33	2138.68		104728289280	67.41	65.02	65.33	0.08	
880301	煤炭	2.83	778.51		15701915648	66.02	58.93	55.92	0.07	
880437	通用机械	-0.31	1404.54		15511013376	67.74	66.40	65.08	0.06	
880455	供气供热	1.07	749.59		4214857728	82.33	69.56	60.39	0.05	
880390	汽车类	0.23	2377.57		63542546432	70.49	64.58	61.70	0.05	
880497	综合类	3.83	1129.27		8926955520	69.48	63.36	62.97	0.05	
880489	IT设备	1.00	1601.11		11251502080	62.57	59.17	57.27	0.04	
880476	建筑	0.34	1177.98		15206402048	63.05	61.45	59.52	0.04	
880344	建材	-1.24	1758.02		16895609856	61.76	57.10	53.41	0.04	
880492	元器件	-0.23	2860.53		83243261952	63.76	61.05	60.04	0.03	
880448	电器仪表	-1.18	4993.74		19618181120	49.20	51.73	53.78	0.02	
880431	船舶	-1.17	579.63		3711649280	66.16	58.48	53.03	0.02	
880414	商贸代理	2.06	1063.16		2804272640	59.52	53.01	53.28	0.01	
880432	运输设备	0.19	1170.80		2412589312	62.26	55.58	51.26	0.01	
880454	水务	0.49	1105.80		594483840	66.59	56.15	50.78	0.01	
880493	软件服务	-0.23	2673.42		45486567424	46.06	47.79	50.14	0.01	
880452	电信运营	-0.33	916.81		1455823360	44.45	45.13	45.54	0.00	
880456	环境保护	0.41	1256.86		9795096576	52.56	52.17	53.24	-0.00	
880305	电力	0.21	1482.45		17308850176	67.36	55.71	51.88	-0.01	
880472	证券	0.24	1462.28		21934395392	44.08	44.95	46.26	-0.01	
880400	医药	-3.15	2678.38		80640073728	40.34	42.90	45.44	-0.02	
880453	公共交通	0.30	892.06		309008256	56.41	49.08	49.03	-0.03	
880421	广告包装	-0.26	1333.89		3074755328	41.49	42.57	45.07	-0.03	
880387	家用电器	-0.54	3960.30		11886398464	55.92	47.09	43.34	-0.03	
880474	多元金融	0.49	1072.36		2501948160	51.53	44.85	43.11	-0.03	
880399	家居用品	-0.95	2947.44		2316432128	47.14	40.11	39.16	-0.04	
880372	食品饮料	-1.48	3250.44		14093651968	39.14	36.79	37.22	-0.05	
880367	纺织服饰	-0.26	1018.04		6164818944	36.12	36.64	42.84	-0.05	
880398	医疗保健	-2.03	5918.88		31270246400	39.74	41.09	43.76	-0.06	
880471	银行	0.31	1902.86		12166383616	30.84	30.99	34.75	-0.06	
880465	交通设施	-0.67	1360.83		1651598080	22.47	26.92	34.23	-0.06	
880406	商业连锁	-1.53	820.91		8290394112	31.56	30.70	31.90	-0.07	
880310	石油	-0.08	614.92		4321521152	34.09	34.27	40.87	-0.07	
880424	旅游	-1.14	4219.96		3227048448	38.69	37.07	38.73	-0.07	
880360	农林牧渔	-0.11	1857.46		15544969216	47.40	41.17	39.81	-0.07	
880355	日用化工	-0.92	1905.44		1221358592	41.23	39.18	42.61	-0.07	
880350	造纸	0.29	1476.56		3082465024	39.06	35.45	37.48	-0.07	
880464	仓储物流	-0.31	1890.82		3338915840	40.96	39.03	39.77	-0.08	
880482	房地产	-0.09	1195.52		10684620800	38.81	31.34	32.18	-0.09	
880494	互联网	-0.43	1954.70		8452062208	24.18	28.25	34.08	-0.10	
880459	运输服务	0.13	987.14		7030020096	36.49	34.65	39.52	-0.10	
880473	保险	-0.97	1689.57		4518032896	28.61	28.97	32.10	-0.10	
880422	文教休闲	-2.04	1807.93		4576598528	36.29	34.29	34.30	-0.10	
880418	传媒娱乐	-0.68	860.78		4932171264	16.48	19.96	25.66	-0.10	
880380	酿酒	-0.96	7363.08		29637302272	28.27	30.03	34.97	-0.14	
880423	酒店餐饮	0.47	1110.73		518962496	24.73	24.85	30.05	-0.18	
数据来源:通达信
