历史行情.指标排序沪深Ａ股 日期:2021-07-19,一 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
600112	*ST天成					99.81	98.04	93.16	电气设备	1.66	
300343	联创股份	2.34	8.74	223947760	1930967424	89.99	88.13	84.99	化工	1.49	
300500	启迪设计	-6.86	25.51	20357748	546982720	66.82	69.78	69.95	建筑	1.11	
002656	ST摩登	5.08	3.31	1887906	6248969	83.48	82.30	79.59	纺织服饰	1.02	
603938	三孚股份	-3.21	48.01	5826737	285259040	66.44	73.79	75.45	化工	0.98	
300218	安利股份	-1.88	20.30	5731619	117156096	60.67	71.65	73.94	化工	0.95	
300505	川金诺	0.93	32.70	17051198	557006528	75.05	76.06	74.94	化工	0.89	
600418	江淮汽车	2.57	17.15	234458608	3974581504	95.24	88.27	80.59	汽车类	0.88	
300311	任子行	13.55	11.90	217304976	2429426176	94.34	88.86	83.05	软件服务	0.84	
300672	国科微	-6.37	135.00	9506758	1299342336	65.77	66.52	66.15	半导体	0.82	
300671	富满电子	0.82	143.24	9623838	1373105280	56.13	64.90	69.91	半导体	0.81	
300077	国民技术					88.77	82.10	78.13	半导体	0.81	
300409	道氏技术	-8.43	27.92	35636284	1022821504	52.53	63.83	68.33	建材	0.80	
000831	五矿稀土	-2.02	30.60	100079928	3142958080	78.38	78.70	74.56	有色	0.79	
000762	西藏矿业	6.96	41.50	102160048	4232512000	83.89	79.62	74.41	有色	0.79	
300631	久吾高科	-11.98	37.98	19027004	773850240	47.15	58.84	62.52	环境保护	0.78	
600111	北方稀土	2.36	34.70	273461728	9631130624	78.01	79.06	74.76	有色	0.77	
603098	森特股份	7.55	46.01	21627126	992450688	72.32	70.24	69.83	建筑	0.76	
688128	中国电研	-0.41	28.87	8990564	264276448	84.65	83.05	80.80	工业机械	0.76	
300490	华自科技	-3.85	19.71	32556880	650921088	50.94	58.46	61.38	电气设备	0.75	
002620	瑞和股份	-0.63	9.40	36137372	344054080	80.93	77.49	74.13	建筑	0.75	
600771	广誉远	10.01	49.13	56938124	2681305344	84.50	77.75	74.06	医药	0.75	
600230	沧州大化	6.55	20.51	68647744	1409788160	95.75	89.94	81.36	化工	0.75	
002176	江特电机	3.84	13.25	250492128	3309989632	92.11	85.46	76.51	电气设备	0.74	
688682	霍莱沃	-0.12	160.19	599794	96923824	55.51	62.18	64.06	软件服务	0.74	
300354	东华测试	-3.01	28.69	7468630	215275728	67.57	71.45	72.12	电器仪表	0.74	
688559	海目星	12.29	47.61	5617185	259320992	79.80	77.71	74.39	工业机械	0.71	
600338	西藏珠峰	-0.56	23.22	106078416	2521929984	92.86	85.76	76.28	有色	0.70	
603026	石大胜华	0.98	205.65	12920591	2674064384	50.38	61.66	67.32	化工	0.69	
600876	洛阳玻璃	-0.04	27.57	14788568	407870048	93.01	89.30	82.08	建材	0.68	
603396	金辰股份	10.01	73.87	3990453	288623680	81.39	78.45	75.77	工业机械	0.68	
600055	万东医疗	-1.16	26.40	36133864	962575104	91.68	88.09	82.39	医疗保健	0.67	
002529	海源复材	-3.25	13.09	46783064	663714816	71.04	71.55	70.42	工业机械	0.67	
688699	明微电子	-2.69	326.00	1554129	503209504	52.99	60.29	63.92	半导体	0.67	
603324	盛剑环境	10.01	54.40	4458810	238810896	70.64	71.35	68.56	环境保护	0.67	
300712	永福股份	-5.42	68.29	4117386	287466368	65.29	72.07	71.53	建筑	0.65	
300479	神思电子	4.32	21.49	26587106	561424256	46.37	55.69	60.00	软件服务	0.64	
000707	*ST双环	4.91	5.34	16337956	86795112	84.75	83.16	80.65	化工	0.64	
002091	江苏国泰	-1.29	13.72	111327728	1563101568	76.37	78.18	76.28	商贸代理	0.64	
300393	中来股份	2.49	12.76	122208320	1605937408	59.27	62.27	64.10	化工	0.63	
603738	泰晶科技	-6.76	48.66	10269509	504987360	62.60	71.67	73.48	元器件	0.62	
002140	东华科技	-1.24	11.96	86950736	1059721024	91.84	88.26	83.13	建筑	0.60	
300752	隆利科技	-3.17	29.32	10999562	322620544	82.98	80.79	74.09	元器件	0.60	
002192	融捷股份	-5.60	105.73	24756396	2677409280	50.02	59.97	62.72	有色	0.60	
300350	华鹏飞	0.77	14.42	22041746	317889216	58.74	62.89	65.02	仓储物流	0.60	
