历史行情.指标排序沪深Ａ股 日期:2021-07-22,四 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
300343	联创股份	1.21	9.20	179164784	1660134912	81.97	82.64	81.34	化工	1.85	
600112	*ST天成					99.81	98.04	93.16	电气设备	1.66	
300631	久吾高科	20.00	55.80	34027584	1746833664	82.04	78.35	75.29	环境保护	1.45	
002176	江特电机	9.99	15.97	10060100	160659792	96.28	91.08	82.67	电气设备	1.17	
300432	富临精工	20.00	28.86	69872928	1802747264	84.95	81.05	78.49	汽车类	1.10	
300311	任子行	4.64	12.40	178983984	2138195200	87.71	84.92	80.83	软件服务	1.10	
000762	西藏矿业	10.00	48.42	79927072	3607551488	86.31	82.29	77.35	有色	1.07	
300712	永福股份	4.21	80.11	5164196	414112608	83.08	81.22	77.66	建筑	1.06	
688037	芯源微	14.45	273.97	3843820	973091392	93.66	88.20	83.66	半导体	1.05	
300077	国民技术	3.43	32.85	96472376	3102807040	96.49	91.78	87.23	半导体	1.05	
600338	西藏珠峰	10.01	27.81	58899840	1581726848	95.02	90.01	81.69	有色	1.02	
002656	ST摩登	4.93	3.83	33339884	126385648	91.43	87.86	84.00	纺织服饰	1.02	
600111	北方稀土	2.53	40.59	248513536	9973532672	88.73	85.89	80.41	有色	0.99	
603938	三孚股份	10.01	56.18	2645420	145817312	84.71	82.67	81.08	化工	0.99	
002192	融捷股份	10.00	133.23	16386622	2145475200	75.67	73.74	71.61	有色	0.99	
688699	明微电子	9.39	360.99	2734308	960160960	69.24	66.72	67.16	半导体	0.97	
603396	金辰股份	-0.17	85.83	5270632	448198336	89.34	84.79	80.65	工业机械	0.96	
300354	东华测试	-1.98	32.15	7944011	247829984	74.79	75.28	74.76	电器仪表	0.89	
300813	泰林生物	16.39	89.74	6652693	564726144	97.97	93.69	86.83	医疗保健	0.89	
002119	康强电子	7.25	22.77	61568644	1398412928	85.47	81.11	77.76	半导体	0.87	
300588	熙菱信息	11.53	19.73	35942416	692416000	67.10	64.35	64.05	软件服务	0.86	
300672	国科微	-0.72	160.98	9044539	1487937024	78.48	75.02	71.95	半导体	0.85	
300671	富满电子	4.52	157.60	18688816	2866782464	72.93	71.76	73.51	半导体	0.85	
688559	海目星	0.15	53.78	3826832	204396560	87.61	83.14	78.54	工业机械	0.84	
002091	江苏国泰	-0.65	15.20	68247200	1030217792	83.00	82.12	79.36	商贸代理	0.84	
300500	启迪设计	-3.87	27.09	28821556	845733760	66.35	69.48	69.92	建筑	0.83	
600870	*ST厦华	5.03	5.64	1432500	8079300	95.18	92.45	87.57	家用电器	0.83	
000683	远兴能源	0.50	8.09	164532816	1327497984	97.33	91.52	84.39	化工	0.82	
002240	盛新锂能	3.43	51.20	64307156	3284071424	84.72	81.16	75.64	有色	0.77	
002411	延安必康	1.77	9.18	134568192	1232931584	86.88	81.09	74.73	医药	0.76	
002529	海源复材	0.57	14.20	29127220	416288864	80.19	76.52	73.70	工业机械	0.76	
688595	芯海科技	20.00	146.78	5614155	798087424	91.54	83.99	77.62	半导体	0.75	
300752	隆利科技	-1.49	33.00	13389169	442330976	84.53	82.87	76.94	元器件	0.75	
002518	科士达	10.00	24.53	28935336	691880832	94.56	90.87	85.80	电气设备	0.75	
605358	立昂微	3.62	168.15	7872670	1322876416	90.52	83.14	76.82	半导体	0.75	
000506	中润资源	-7.56	3.67	199137312	751632832	76.95	80.17	78.30	有色	0.75	
300393	中来股份	20.02	15.71	185700784	2817309440	81.02	73.99	71.19	化工	0.75	
002418	康盛股份	4.57	4.35	219339072	949677760	83.99	75.74	71.27	通用机械	0.75	
002108	沧州明珠	2.51	8.99	184718240	1647705984	82.91	79.57	76.08	化工	0.72	
603026	石大胜华	-0.72	216.70	11791804	2512408064	58.73	64.99	69.05	化工	0.72	
002140	东华科技	10.03	13.05	69586256	858027392	85.82	84.23	81.10	建筑	0.72	
002760	凤形股份	6.30	40.64	6550967	260392496	90.59	85.27	81.22	通用机械	0.72	
000707	*ST双环	4.92	6.18	5145522	31739076	92.95	89.25	85.49	化工	0.72	
688518	联赢激光	10.22	27.71	12817336	346082816	86.88	81.67	76.79	工业机械	0.71	
688128	中国电研	-1.28	29.32	4463363	133501920	73.97	77.12	77.10	工业机械	0.71	
600055	万东医疗	1.12	26.08	36683096	958541632	66.38	71.73	72.19	医疗保健	0.71	
300763	锦浪科技	19.12	260.87	6264632	1478422656	86.04	81.15	76.83	电气设备	0.71	
300827	上能电气	20.00	61.01	9395397	524974720	74.86	71.98	70.19	电气设备	0.71	
300218	安利股份	5.02	21.77	9560933	206494784	69.65	73.60	74.75	化工	0.71	
300479	神思电子	4.73	21.03	32289744	663105728	47.93	53.76	57.96	软件服务	0.70	
603738	泰晶科技	-5.60	52.23	10941941	575062208	61.81	69.17	71.72	元器件	0.70	
688590	新致软件	3.01	30.08	9811388	300332768	83.92	79.11	74.30	软件服务	0.69	
000831	五矿稀土	-2.69	33.31	93972400	3143987712	77.21	78.48	75.46	有色	0.69	
002738	中矿资源	2.51	70.20	18567032	1297177856	85.79	81.25	76.97	有色	0.68	
600010	包钢股份	10.13	2.61	2774628352	6967248384	86.28	82.22	76.05	钢铁	0.68	
002460	赣锋锂业	7.58	200.00	48207296	9467725824	89.23	83.28	76.20	有色	0.68	
603260	合盛硅业	10.00	101.05	12310201	1215422464	88.72	81.74	75.24	化工	0.68	
300241	瑞丰光电	19.98	11.77	96118464	1028063232	97.11	92.88	86.08	半导体	0.67	
300477	合纵科技	2.20	11.17	109094384	1186230144	89.92	82.23	74.73	电气设备	0.67	
300049	福瑞股份	-0.47	19.17	15781565	296930816	82.90	78.34	73.07	医疗保健	0.66	
300390	天华超净	2.70	76.93	16492150	1252607872	83.10	79.52	76.27	元器件	0.66	
603324	盛剑环境	-6.45	53.51	5563888	306952864	57.77	64.17	64.61	环境保护	0.66	
600418	江淮汽车	5.22	19.56	183917264	3588327680	94.11	89.76	83.39	汽车类	0.66	
300505	川金诺	0.35	34.85	17639516	620426624	79.89	78.32	76.49	化工	0.65	
688599	天合光能	9.61	42.30	25326282	1031236352	90.71	86.00	81.50	电气设备	0.64	
688668	鼎通科技	7.86	52.16	1599833	81027240	88.66	83.63	77.59	元器件	0.62	
002407	多氟多	10.01	50.99	105415176	5154496512	85.09	78.93	74.22	化工	0.62	
600230	沧州大化	-10.01	18.79	67507808	1308768384	61.17	68.56	68.52	化工	0.62	
688366	昊海生科	-4.44	247.50	2157667	537562816	45.67	55.45	59.21	医药	0.61	
300325	*ST德威	6.89	3.26	88073120	281463168	72.95	70.55	68.28	化工	0.61	
000155	川能动力	3.29	21.02	162128480	3380194560	79.46	74.47	68.60	电力	0.60	
600549	厦门钨业	1.93	31.20	96235312	2921964288	83.95	81.02	76.22	有色	0.59	
300389	艾比森	2.56	14.00	38400768	505951296	94.88	88.65	80.68	半导体	0.59	
300772	运达股份	6.82	29.46	19904424	572906624	97.15	91.28	83.83	电气设备	0.59	
688560	明冠新材	6.53	34.27	5417022	185592528	80.22	76.90	72.62	电气设备	0.58	
000935	四川双马	3.29	20.10	25923570	525184896	72.38	70.79	69.45	建材	0.58	
600141	兴发集团	0.86	28.08	50850376	1436091648	89.15	86.34	80.87	化工	0.58	
300350	华鹏飞	-1.87	14.20	26727030	373941280	54.06	59.97	63.09	仓储物流	0.58	
000822	山东海化	6.42	10.77	54800376	578276608	91.51	81.68	73.48	化工	0.57	
300604	长川科技	3.39	49.37	20974108	1022639104	81.65	78.11	76.28	工业机械	0.57	
300303	聚飞光电	9.84	8.15	376567616	2994288384	95.31	90.02	83.10	半导体	0.57	
600078	*ST澄星	4.88	4.08	19789966	80343120	90.40	82.90	72.25	化工	0.57	
600771	广誉远	-9.99	48.02	52872308	2594162944	61.62	66.08	67.44	医药	0.57	
300409	道氏技术	-3.81	28.29	42711012	1195614592	51.95	62.03	66.79	建材	0.56	
600210	紫江企业	7.34	7.31	113613576	808104256	99.11	94.92	87.37	广告包装	0.56	
688682	霍莱沃	0.61	166.01	765959	127354272	60.93	64.18	65.19	软件服务	0.56	
000422	湖北宜化	0.44	11.39	50785056	576647040	84.78	80.69	78.10	化工	0.55	
000009	中国宝安	10.01	24.62	123792136	2974309888	76.83	74.53	73.87	综合类	0.55	
002620	瑞和股份	1.52	9.38	29382280	277903072	76.19	75.02	72.66	建筑	0.55	
002356	*ST赫美	5.00	5.25	3195458	16776154	92.10	87.43	83.06	商业连锁	0.54	
603906	龙蟠科技	8.02	47.95	11839262	544633600	83.11	79.32	75.81	化工	0.54	
002895	川恒股份	0.42	21.70	15673945	337881824	59.23	64.76	67.08	化工	0.53	
300661	圣邦股份	7.54	295.48	3868961	1113293184	84.90	75.75	70.41	元器件	0.53	
600876	洛阳玻璃	-2.80	27.45	13537686	375525632	77.92	81.51	77.98	建材	0.53	
600251	冠农股份	-0.17	11.46	33981784	382640896	67.92	70.20	69.20	农林牧渔	0.53	
688116	天奈科技	0.57	157.80	2147855	334422848	65.23	66.47	68.16	化工	0.53	
002175	*ST东网	4.83	3.47	39237188	133613632	89.73	82.59	76.31	电器仪表	0.53	
603690	至纯科技	5.05	59.50	30709848	1801885952	91.91	83.49	75.97	工业机械	0.52	
002892	科力尔	-1.56	26.45	5574720	149070672	63.56	66.96	67.82	电气设备	0.52	
688357	建龙微纳	2.59	163.00	979165	153986416	81.15	79.65	77.52	化工	0.52	
300748	金力永磁	9.24	41.14	58279520	2343749376	76.53	72.38	70.05	元器件	0.52	
600586	金晶科技	4.69	11.16	133018208	1446013312	80.89	76.55	72.22	建材	0.52	
002074	国轩高科	-0.94	57.08	66397408	3749063168	74.16	75.73	72.85	电气设备	0.51	
002455	百川股份	9.98	11.35	82128712	913797568	84.08	78.17	72.86	化工	0.51	
603822	嘉澳环保	10.01	41.21	5874355	233690912	85.37	80.78	75.94	环境保护	0.51	
002280	联络互动	0.38	7.91	75893336	591221952	56.02	61.33	63.11	软件服务	0.51	
000657	中钨高新	-3.13	13.94	48139860	671388544	72.39	72.34	70.55	有色	0.51	
300223	北京君正	3.24	144.82	12994334	1904787840	86.04	78.60	73.11	半导体	0.50	
002326	永太科技	7.34	25.87	83763296	2085320448	68.53	67.07	67.65	化工	0.50	
688299	长阳科技	5.14	38.05	15431791	589570496	97.88	92.22	82.79	化工	0.50	
300269	ST联建	-2.74	3.90	39112776	155809152	73.27	73.16	67.62	半导体	0.50	
688101	三达膜	1.33	24.36	13422440	324448544	76.93	75.33	71.98	环境保护	0.50	
600328	中盐化工	-0.22	18.35	51885976	945433728	68.77	70.46	69.75	化工	0.49	
000659	珠海中富	4.55	4.83	30487194	144745120	85.89	81.85	72.52	广告包装	0.49	
002268	卫 士 通	5.21	28.65	51686684	1496778240	84.92	81.33	76.24	软件服务	0.49	
300582	英飞特	5.56	33.20	21786894	707901760	72.86	69.56	68.20	半导体	0.48	
300655	晶瑞电材	10.83	42.97	35114552	1448157056	79.37	73.47	71.14	化工	0.48	
603185	上机数控	5.39	250.00	5035142	1227770624	81.07	78.50	73.53	电气设备	0.48	
603098	森特股份	6.84	51.40	16491685	819451072	78.52	74.64	72.78	建筑	0.48	
