历史行情.指标排序沪深Ａ股 日期:2021-07-28,三 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
300343	联创股份	19.98	12.25	226349920	2476841472	87.83	85.51	83.65	化工	2.52	
300077	国民技术	0.09	35.05	91565544	3141528576	90.09	87.91	84.99	半导体	1.29	
688559	海目星	3.41	61.22	5049399	305210400	84.04	81.97	78.85	工业机械	1.03	
300432	富临精工	5.58	27.81	58251924	1600515840	66.58	69.86	71.16	汽车类	1.00	
002656	ST摩登	4.99	4.21	91798176	378444160	83.14	83.07	81.52	纺织服饰	0.97	
002176	江特电机	-9.84	15.11	198244480	3018765312	54.18	65.41	68.13	电气设备	0.96	
300712	永福股份	8.26	85.61	5081660	403722848	74.77	75.62	74.58	建筑	0.96	
000506	中润资源	-10.02	4.04	157716048	663358912	64.35	70.83	72.21	有色	0.94	
600111	北方稀土	-2.33	39.42	204643760	8143129600	66.64	73.53	73.29	有色	0.90	
002192	融捷股份	4.69	130.55	19570292	2506253824	64.96	66.78	67.07	有色	0.90	
300827	上能电气	19.99	89.78	12799079	1043070208	89.78	85.17	81.01	电气设备	0.89	
002356	*ST赫美	4.93	6.38	26416700	167765392	96.91	92.67	87.90	商业连锁	0.89	
300223	北京君正	10.45	188.32	16431649	2911298048	95.43	88.81	81.95	半导体	0.87	
300681	英搏尔	-5.58	64.17	6268464	396633120	83.12	82.42	79.15	汽车类	0.79	
600112	*ST天成	-4.90	4.08	2367000	9657360	44.05	61.06	68.60	电气设备	0.79	
300752	隆利科技	2.90	30.82	10524283	314845632	56.19	64.10	65.52	元器件	0.78	
002455	百川股份	9.97	13.57	126337128	1651389824	87.97	82.69	77.36	化工	0.74	
300480	光力科技	11.17	44.30	13962892	583285760	87.06	83.47	80.02	工业机械	0.73	
002201	九鼎新材	2.13	26.80	74619064	2001930624	81.26	77.46	75.45	建材	0.72	
300660	江苏雷利	19.99	33.79	20030766	629442688	95.46	89.91	82.47	电气设备	0.71	
003038	鑫铂股份	-4.83	45.50	8655759	388016800	76.40	77.61	72.74	有色	0.67	
300631	久吾高科	-4.10	40.47	15354213	617807552	42.23	51.63	56.65	环境保护	0.65	
300311	任子行	-14.61	9.76	143591040	1434059648	41.15	54.20	59.42	软件服务	0.65	
300813	泰林生物	-4.92	75.01	3447211	255154288	59.82	64.99	65.71	医疗保健	0.65	
002580	圣阳股份	9.97	11.47	86920144	959254912	72.23	73.46	71.66	电气设备	0.64	
600870	*ST厦华	-5.05	5.26	12795561	68438344	58.07	69.08	72.08	家用电器	0.63	
002240	盛新锂能	0.89	46.56	45464036	2112773888	52.72	62.69	65.05	有色	0.63	
002518	科士达	0.82	23.34	41849092	939937536	61.98	70.18	72.38	电气设备	0.62	
603396	金辰股份	5.95	92.60	6411031	565265984	74.69	76.68	76.28	工业机械	0.62	
600338	西藏珠峰	-9.82	22.95	107893832	2512232448	42.73	55.87	60.72	有色	0.62	
000831	五矿稀土	3.67	31.10	99205592	3058110720	54.89	63.45	65.98	有色	0.62	
000762	西藏矿业	-2.57	42.89	76875616	3303483904	52.80	61.97	64.88	有色	0.61	
688037	芯源微	-8.48	239.50	2633380	646395968	55.28	63.51	66.97	半导体	0.61	
603324	盛剑环境	7.46	58.02	6141675	347390432	70.70	68.86	67.12	环境保护	0.59	
300604	长川科技	5.58	57.12	29688608	1628299776	86.84	82.37	79.41	工业机械	0.59	
600210	紫江企业	1.56	7.15	111873928	791873216	83.36	83.94	80.16	广告包装	0.59	
600331	宏达股份	-10.00	3.24	242324448	815014592	65.89	68.48	66.61	有色	0.59	
