历史行情.指标排序沪深Ａ股 日期:2021-08-03,二 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
300343	联创股份	-3.97	14.29	177026656	2621556224	80.65	82.41	82.19	化工	1.95	
300827	上能电气					95.82	92.12	88.11	电气设备	1.72	
300693	盛弘股份	4.42	43.00	47445924	2027585408	94.81	91.80	86.32	电气设备	1.47	
002455	百川股份	-4.93	17.17	178210592	3291162624	81.25	81.82	79.31	化工	1.24	
300077	国民技术	-14.79	34.00	96538968	3429524480	51.17	63.34	68.62	半导体	1.20	
688559	海目星	-20.00	63.76	9371504	643641984	52.36	61.53	65.71	工业机械	1.07	
002176	江特电机	2.44	20.60	324492064	6805840384	82.48	81.14	78.76	电气设备	1.06	
300508	维宏股份	7.99	56.24	11054413	635379968	95.58	89.96	83.66	软件服务	1.00	
300329	海伦钢琴	10.30	13.81	72625856	939457088	86.32	84.05	80.62	文教休闲	0.97	
300311	任子行	20.02	11.99	190462288	2078924288	67.26	66.10	66.39	软件服务	0.96	
300681	英搏尔	-9.57	68.90	3682736	264330976	64.32	70.42	71.50	汽车类	0.95	
300346	南大光电	-7.84	73.73	72787664	5469090816	71.62	74.66	73.85	元器件	0.93	
300318	博晖创新	20.03	14.02	148694080	1947704192	94.90	88.91	80.58	医疗保健	0.93	
600111	北方稀土	-8.07	44.86	259887264	11866417152	62.70	69.71	71.47	有色	0.92	
300660	江苏雷利	2.93	38.99	13765265	522548960	90.82	88.88	83.94	电气设备	0.90	
002356	*ST赫美					96.91	92.67	87.90	商业连锁	0.89	
300712	永福股份	-10.23	95.20	9451116	911161664	59.30	66.80	69.50	建筑	0.86	
300752	隆利科技	-14.51	31.41	11005458	366902080	45.74	56.04	60.27	元器件	0.83	
300656	民德电子	12.88	59.49	12675090	745172928	90.35	84.47	78.64	IT设备	0.83	
002518	科士达	-4.97	28.30	55107720	1637815808	70.62	74.26	75.22	电气设备	0.76	
003038	鑫铂股份	-5.33	47.38	4553392	223520032	62.91	69.71	68.95	有色	0.74	
688518	联赢激光	-9.62	32.79	23053892	753366528	63.13	69.19	70.88	工业机械	0.72	
300648	星云股份	-12.63	52.44	18554986	1010858304	63.12	68.43	68.37	电器仪表	0.70	
600210	紫江企业	0.26	7.73	71885400	566921664	81.20	82.16	79.87	广告包装	0.69	
300432	富临精工	-5.37	28.39	25483078	739561280	52.97	60.85	64.87	汽车类	0.69	
600338	西藏珠峰	-10.00	25.21	69945776	1811620608	50.98	57.88	61.27	有色	0.66	
300502	新易盛	-3.13	46.79	37429696	1787906176	77.10	76.25	71.20	通信设备	0.62	
300813	泰林生物	4.86	71.05	3504654	243486144	50.52	57.42	60.03	医疗保健	0.62	
600888	新疆众和	-10.00	9.27	147028640	1443514624	68.02	73.55	73.21	有色	0.61	
603324	盛剑环境	-7.24	69.01	2406418	169053920	68.86	70.40	69.41	环境保护	0.61	
300382	斯莱克	-7.17	23.81	23211140	565812032	60.54	67.63	70.66	工业机械	0.61	
002192	融捷股份	-7.04	142.00	18810152	2745868032	57.83	63.34	65.28	有色	0.60	
600010	包钢股份	-7.06	2.50	1972838656	5010697728	49.11	57.99	61.25	钢铁	0.59	
300142	沃森生物	3.05	89.50	83400456	7456467456	83.41	77.63	70.84	医药	0.59	
688668	鼎通科技	-6.08	53.89	1367338	75777440	62.08	65.60	66.85	元器件	0.58	
300369	绿盟科技	9.45	24.44	37856712	911815680	79.28	73.46	67.99	软件服务	0.58	
300480	光力科技	-8.24	39.75	8766569	355261088	48.24	60.34	65.50	工业机械	0.57	
300101	振芯科技	-6.70	28.40	63279688	1832791040	66.66	68.49	67.87	通信设备	0.57	
002837	英维克	10.00	27.84	26459544	719490688	96.87	91.62	82.86	工业机械	0.57	
688663	新风光	-10.19	33.86	8562649	302767936	65.57	67.78	66.98	电气设备	0.57	
300471	厚普股份	-2.69	18.10	51405672	956428736	61.68	63.82	63.18	工业机械	0.56	
300772	运达股份	2.75	30.30	15399065	461500000	77.29	76.73	74.89	电气设备	0.56	
300655	晶瑞电材	-14.71	54.67	40982332	2383354624	58.56	64.75	67.08	化工	0.55	
605117	德业股份	-10.00	177.18	2750595	502933120	55.93	62.90	65.64	家用电器	0.55	
000506	中润资源	-3.44	3.37	89626744	304501312	39.07	52.37	58.15	有色	0.55	
002121	科陆电子	7.60	6.94	177585776	1169676160	85.52	79.65	74.31	电器仪表	0.54	
600418	江淮汽车	-9.97	17.51	217517472	3903978496	46.58	54.80	59.57	汽车类	0.54	
688128	中国电研	4.72	36.82	7618947	280840480	82.36	78.10	76.40	工业机械	0.54	
002533	金杯电工	-4.64	8.02	47583232	394163808	60.36	66.72	68.65	电气设备	0.53	
002897	意华股份	-2.46	31.76	16283892	538150592	77.08	76.17	71.82	元器件	0.53	
002760	凤形股份	-0.77	41.28	3269900	136922784	71.36	72.91	73.18	通用机械	0.53	
000762	西藏矿业	-9.99	46.56	65749744	3127821056	53.11	60.53	63.74	有色	0.53	
002140	东华科技	-9.97	11.20	47612560	556832896	45.68	53.93	58.39	建筑	0.52	
002006	精功科技	7.39	12.06	25181984	297553280	88.92	83.34	77.53	工业机械	0.51	
688560	明冠新材	-8.05	36.31	4551723	169848704	48.71	57.83	61.66	电气设备	0.50	
688520	神州细胞-U	1.82	70.53	3481605	246994400	75.04	69.43	66.07	医药	0.50	
601669	中国电建	7.46	5.76	936220096	5396896768	94.01	91.15	86.88	建筑	0.50	
603662	柯力传感	10.02	28.44	5129759	145890352	93.15	88.50	83.16	电器仪表	0.49	
300049	福瑞股份	-2.00	16.70	8126800	137571072	46.86	54.64	58.52	医疗保健	0.49	
300855	图南股份	-3.34	56.46	5639898	318295104	77.55	78.01	73.47	钢铁	0.49	
603650	彤程新材	-10.00	69.21	7812337	549634240	58.57	65.13	66.32	化工	0.48	
000733	振华科技	-1.74	84.47	10374066	893040576	66.18	68.32	67.20	元器件	0.48	
300260	新莱应材	-2.90	30.48	19580072	571847808	76.85	73.22	70.34	通用机械	0.48	
300331	苏大维格	0.64	36.00	11093365	391076032	69.11	71.09	68.20	元器件	0.48	
603690	至纯科技	-10.00	59.31	17276536	1049564416	49.10	58.26	61.98	工业机械	0.48	
002453	华软科技	-1.65	9.54	26277684	254639632	83.72	82.20	76.07	软件服务	0.48	
300724	捷佳伟创	-7.77	145.50	8349233	1227461120	47.27	55.08	57.32	工业机械	0.48	
603505	金石资源	10.01	32.75	5941434	188634624	83.26	77.60	74.24	矿物制品	0.47	
002549	凯美特气	7.72	12.00	77910312	923785920	88.70	82.85	74.40	环境保护	0.47	
688390	固德威	-16.81	470.00	3250548	1557552512	51.11	58.30	61.15	电气设备	0.47	
300661	圣邦股份	-1.73	340.01	5508391	1835588992	66.03	68.15	67.65	元器件	0.47	
605358	立昂微	-10.00	152.10	4659262	728102592	41.45	54.48	60.03	半导体	0.46	
300223	北京君正	-12.01	151.88	23635540	3771801344	41.55	55.05	60.80	半导体	0.46	
002108	沧州明珠	-3.82	8.30	100937936	857704640	57.24	60.41	62.40	化工	0.46	
300477	合纵科技	-10.04	10.30	84584696	911999808	43.00	53.39	58.25	电气设备	0.46	
300500	启迪设计	13.08	27.32	24254676	638450560	64.12	62.04	62.99	建筑	0.46	
300294	博雅生物	6.51	56.30	21602264	1183368064	75.46	71.96	68.74	医药	0.46	
300289	利德曼	9.50	9.11	79706384	707133568	92.90	86.26	76.96	医药	0.46	
300054	鼎龙股份	-1.80	25.12	65429112	1662250752	79.53	76.05	69.97	化工	0.46	
300852	四会富仕	-8.85	61.59	7760413	484009280	65.94	66.44	64.26	元器件	0.46	
300739	明阳电路	-8.91	23.32	46500244	1159643648	62.30	64.10	63.36	元器件	0.45	
300394	天孚通信	-6.88	33.85	18218006	636882560	65.14	66.89	64.44	通信设备	0.45	
603315	福鞍股份	-1.97	17.45	8641693	152619104	87.84	88.52	83.78	通用机械	0.45	
688590	新致软件	6.86	25.09	9204120	231002816	56.61	56.54	57.80	软件服务	0.45	
603396	金辰股份	-8.77	88.39	4647510	419226208	48.11	60.05	65.57	工业机械	0.45	
600378	昊华科技	-4.30	30.70	6347569	196942560	67.11	69.34	68.20	化工	0.45	
603032	*ST德新	5.02	25.33	133700	3386621	69.99	69.51	68.50	公共交通	0.44	
002466	天齐锂业	-6.97	100.00	98062720	10018416640	62.86	66.01	66.36	有色	0.44	
600230	沧州大化	3.72	18.70	50028708	937007424	63.44	63.41	63.90	化工	0.44	
300751	迈为股份	-3.74	601.00	1464921	874343808	58.72	64.28	65.19	工业机械	0.44	
000831	五矿稀土	-9.37	33.58	79462800	2763450112	52.46	60.22	63.70	有色	0.44	
002580	圣阳股份	-10.00	10.62	56596312	618816768	47.37	57.42	61.32	电气设备	0.44	
000821	京山轻机	3.85	12.40	72438576	907074624	68.68	70.84	70.11	工业机械	0.43	
600876	洛阳玻璃	-3.48	26.09	11923396	322550208	45.14	60.30	65.58	建材	0.43	
603822	嘉澳环保	-3.03	39.42	2596300	103474088	52.24	62.20	65.25	环境保护	0.43	
688599	天合光能	-8.79	40.97	29940704	1238735104	45.99	56.02	61.69	电气设备	0.43	
601222	林洋能源	0.46	11.02	120224840	1350051584	77.03	73.83	70.54	电器仪表	0.42	
300265	通光线缆	5.15	12.67	49772484	621027456	79.91	77.68	73.13	电气设备	0.42	
300241	瑞丰光电	-12.61	10.67	108533328	1224459904	40.72	52.75	58.63	半导体	0.42	
300334	津膜科技	7.46	9.80	53040936	491984896	75.16	68.47	65.31	工业机械	0.42	
300559	佳发教育	10.00	12.54	32537064	396780224	85.86	79.49	70.59	软件服务	0.42	
601877	正泰电器	-4.57	43.43	70180408	3097230848	71.96	71.00	67.31	电气设备	0.42	
603959	百利科技					80.24	74.89	68.44	建筑	0.42	
002396	星网锐捷	1.50	31.04	54845936	1710736000	83.84	77.76	73.62	通信设备	0.42	
002559	亚威股份	-9.97	9.57	68040056	669926144	65.73	70.25	70.35	通用机械	0.42	
002268	卫 士 通	-4.85	27.10	29856332	818660864	47.55	58.95	62.89	软件服务	0.42	
300354	东华测试	2.20	29.32	11091321	340030848	58.19	59.35	62.14	电器仪表	0.42	
000893	亚钾国际	-4.59	23.93	15810950	394334432	69.42	70.10	68.08	化工	0.42	
600481	双良节能	-7.96	8.67	73138288	657018368	50.07	58.13	62.44	环境保护	0.41	
002913	奥士康	-3.89	106.68	2468347	264583120	67.48	69.61	68.15	元器件	0.41	
603279	景津环保	1.41	30.89	5892924	181597344	66.72	68.92	67.45	环境保护	0.41	
300763	锦浪科技	-16.02	243.95	11194874	2785925120	43.96	53.31	58.39	电气设备	0.41	
601677	明泰铝业	-1.05	30.19	10004367	302001056	87.04	83.62	77.60	有色	0.40	
300303	聚飞光电	-7.67	7.10	206601360	1497004160	42.84	55.27	59.86	半导体	0.40	
000659	珠海中富	4.69	4.69	34796848	162086160	60.31	65.62	64.59	广告包装	0.40	
300211	亿通科技	-1.82	14.05	6381342	91838208	53.67	59.09	60.82	通信设备	0.40	
688025	杰普特	-4.68	62.10	7190012	443456800	78.06	75.22	70.40	元器件	0.40	
300745	欣锐科技	9.26	31.97	5834786	180198160	84.95	78.65	72.34	汽车类	0.40	
000155	川能动力	-3.85	20.00	90985768	1864303872	52.56	58.29	59.69	电力	0.39	
600331	宏达股份	-7.81	2.95	241188192	727909312	44.33	53.67	56.83	有色	0.39	
688315	诺禾致源	0.08	59.55	2046295	121363960	74.73	67.68	61.52	医疗保健	0.39	
300379	东方通	3.41	35.80	51362320	1848994944	72.01	68.00	64.42	软件服务	0.39	
002741	光华科技	1.04	22.39	14462785	325844736	76.99	72.50	69.85	化工	0.39	
300687	赛意信息	8.50	30.89	39195640	1204005504	93.59	83.96	74.57	软件服务	0.39	
002145	中核钛白	-0.96	18.57	62575444	1203687424	66.85	67.76	67.32	化工	0.39	
300129	泰胜风能	-4.94	8.47	100660576	897052224	68.45	70.59	68.11	电气设备	0.39	
300791	仙乐健康	2.37	68.29	1544527	104208032	82.43	73.39	65.15	医疗保健	0.39	
300812	易天股份	7.55	31.50	11740245	362895616	77.60	71.76	66.69	工业机械	0.39	
603688	石英股份	-1.70	32.88	12434158	419277248	65.68	70.08	71.17	矿物制品	0.39	
300457	赢合科技	-2.71	27.24	25118434	689079808	62.51	62.84	62.39	工业机械	0.39	
300629	新劲刚	-3.55	28.80	13726500	409269248	72.75	72.14	68.05	元器件	0.38	
600765	中航重机	-2.34	29.22	37977936	1128065024	72.92	70.56	67.48	航空	0.38	
688233	神工股份	19.99	72.86	1876044	136688560	88.20	80.96	74.04	化工	0.38	
000626	远大控股	2.85	25.24	9793235	248050960	89.04	85.31	77.44	商贸代理	0.38	
600293	三峡新材	-2.23	4.39	37879572	168979568	45.58	57.10	61.50	建材	0.38	
300438	鹏辉能源	-11.87	32.96	44062048	1519012352	55.66	60.78	62.59	电气设备	0.38	
300316	晶盛机电	-3.44	65.08	26759140	1764366848	69.17	69.85	68.43	工业机械	0.38	
600078	*ST澄星	1.67	3.65	24376316	88120208	45.73	55.36	57.78	化工	0.38	
003022	联泓新科	1.69	40.30	16394426	673794176	75.18	69.20	65.72	化工	0.38	
300806	斯迪克	0.45	67.40	1539524	102779856	67.15	70.53	70.57	化工	0.37	
000683	远兴能源	-1.78	7.18	185116592	1361035264	47.90	56.26	61.25	化工	0.37	
600760	中航沈飞	0.22	72.21	39558516	2877185024	62.16	61.37	60.94	航空	0.37	
300590	移为通信	-5.64	27.08	26576896	765722304	50.24	59.30	61.30	通信设备	0.37	
002411	延安必康	1.00	8.09	77369344	628812608	49.34	57.70	60.80	医药	0.37	
603214	爱婴室	10.00	29.93	18721740	535170240	85.61	75.96	64.96	商业连锁	0.37	
300274	阳光电源	-10.35	143.98	66368888	9698174976	50.29	56.38	59.38	电气设备	0.37	
688551	科威尔	-11.71	65.64	2020119	141071104	50.08	56.78	60.07	工业机械	0.37	
002906	华阳集团	-2.02	40.22	6200421	253031104	58.44	60.97	60.49	汽车类	0.37	
000572	海马汽车	3.05	7.09	177399488	1286963584	71.32	65.72	61.66	汽车类	0.37	
600055	万东医疗	-0.78	22.90	22531550	512819104	49.26	55.10	59.17	医疗保健	0.37	
600552	凯盛科技	0.22	9.31	43664272	419433952	68.14	69.73	67.17	建材	0.37	
002553	南方轴承	-1.98	14.37	23405550	347792608	67.10	71.35	68.69	汽车类	0.36	
000551	创元科技	-2.86	11.22	13142969	148779744	56.42	58.12	59.37	工业机械	0.36	
002249	大洋电机	-2.57	6.44	78948288	513501248	44.88	57.87	60.47	电气设备	0.36	
688299	长阳科技	-0.88	36.11	7702054	282638048	54.35	60.84	63.20	化工	0.36	
605305	中际联合	0.62	66.25	2612215	176874736	86.33	77.03	68.50	工业机械	0.36	
600816	ST安信	5.01	3.56	37401904	132924600	95.83	88.54	78.84	多元金融	0.36	
300228	富瑞特装	2.57	8.79	67612792	596787200	74.69	68.80	64.25	工业机械	0.36	
603127	昭衍新药	6.22	149.96	2800266	572448192	74.97	67.43	62.31	医疗保健	0.36	
000301	东方盛虹	-1.56	25.86	43562608	1161642624	51.07	57.96	61.16	化纤	0.36	
300171	东富龙	2.87	53.77	7737401	414745472	83.45	72.88	67.47	医疗保健	0.36	
600366	宁波韵升	-6.71	9.45	117103168	1121605376	61.27	65.91	66.20	矿物制品	0.36	
688202	美迪西	7.76	525.51	767992	390501056	72.44	62.53	57.98	医疗保健	0.35	
600399	抚顺特钢	-2.86	23.80	35761672	848848576	65.97	67.61	66.82	钢铁	0.35	
600290	ST华仪	0.00	3.16	38606720	119446336	61.82	65.87	61.24	电气设备	0.35	
002806	华锋股份	10.01	14.72	15537030	224461968	75.77	72.34	68.00	元器件	0.35	
300304	云意电气	20.06	7.48	165755456	1192131712	82.94	76.83	72.04	汽车类	0.35	
300725	药石科技	3.28	183.00	6997599	1263546496	81.88	71.76	64.31	医药	0.35	
002845	同兴达	-2.38	34.83	9550483	334667168	46.33	57.25	61.53	元器件	0.35	
603185	上机数控	-7.16	228.99	4279603	996524800	47.24	54.69	59.10	电气设备	0.35	
600596	新安股份	2.20	24.15	62924268	1537854464	69.26	68.65	68.36	化工	0.34	
300252	金信诺	-8.43	11.08	54559132	621798912	62.90	65.77	64.96	通信设备	0.34	
002598	山东章鼓	-10.02	9.52	32818320	319312832	44.43	54.33	59.11	通用机械	0.34	
002326	永太科技	9.84	27.34	100808064	2735103744	71.80	65.39	64.44	化工	0.34	
002819	东方中科	10.01	40.44	3992394	158493792	81.06	73.82	66.48	电器仪表	0.34	
603416	信捷电气	4.24	76.93	3258004	251189824	78.16	70.52	63.26	电气设备	0.34	
603217	元利科技	-2.61	38.45	2341919	89753064	50.99	58.15	61.19	化工	0.34	
000990	诚志股份	10.01	17.47	54162492	930050944	85.19	80.25	73.65	化工	0.34	
603078	江化微	-10.00	32.31	17301854	575812672	49.93	58.80	61.71	化工	0.34	
603115	海星股份	-9.98	18.77	12678000	244327920	64.85	68.63	68.09	元器件	0.34	
300777	中简科技	0.52	54.60	9163340	502457472	68.72	65.99	62.96	化纤	0.34	
600870	*ST厦华	-5.02	4.73	11228506	53220280	35.14	50.46	58.22	家用电器	0.34	
300153	科泰电源	7.90	10.79	73072680	779292480	77.14	69.16	64.29	电气设备	0.34	
603218	日月股份	-5.45	33.66	30134200	1044234688	67.64	66.87	61.38	工程机械	0.33	
600196	复星医药	5.24	86.71	84623544	7245794816	77.64	69.68	64.87	医药	0.33	
688023	安恒信息	0.33	330.02	994260	332489920	51.72	58.94	59.15	软件服务	0.33	
600860	京城股份	3.56	6.98	11643934	80621776	72.33	67.41	63.42	工业机械	0.33	
688122	西部超导	-3.69	79.90	10580319	860426624	68.80	68.01	65.46	有色	0.33	
002932	明德生物	10.00	84.23	8279437	669953728	89.44	78.84	69.20	医疗保健	0.33	
300942	易瑞生物	8.40	39.48	11513487	436305920	87.76	77.75	68.24	医药	0.33	
600773	西藏城投	-10.02	21.38	64169804	1415191168	50.63	57.70	60.90	房地产	0.33	
601618	中国中冶	3.20	3.87	702223104	2744542464	71.42	70.11	67.05	建筑	0.33	
002850	科达利	-3.92	114.34	2732957	312673504	46.51	53.62	57.63	通用机械	0.32	
603683	晶华新材	10.04	12.49	23239916	280727456	89.75	82.02	71.73	化工	0.32	
600219	南山铝业	-6.59	4.82	282342688	1393833216	46.31	57.53	60.34	有色	0.32	
300082	奥克股份	5.03	16.49	48076288	796507136	75.30	67.36	63.02	化工	0.32	
600610	中毅达	0.57	15.88	7402446	117210664	56.04	60.26	63.69	化工	0.32	
688033	天宜上佳	-1.09	21.80	6954924	153405968	67.23	71.20	72.53	运输设备	0.32	
600367	红星发展	2.08	12.26	39409104	495641312	65.34	67.97	65.82	化工	0.32	
300850	新强联	-5.65	141.99	4841001	706593280	68.77	71.86	70.04	通用机械	0.32	
600490	鹏欣资源	-5.81	5.19	101338408	538291072	55.10	61.47	61.70	有色	0.32	
002684	*ST猛狮	-4.91	5.23	42824124	231749680	68.31	68.68	67.18	电气设备	0.32	
002656	ST摩登	-4.99	3.43	2106800	7226324	38.05	53.64	61.61	纺织服饰	0.32	
600588	用友网络	4.65	41.21	66985592	2777176832	82.74	74.47	65.50	软件服务	0.32	
300309	吉艾科技	1.99	4.10	125438016	512852256	61.81	61.12	60.73	多元金融	0.32	
600406	国电南瑞	-2.03	31.40	32117684	1023681728	71.16	70.23	65.97	电气设备	0.32	
002201	九鼎新材	-6.57	22.34	37059208	868858944	43.42	54.67	60.26	建材	0.32	
603333	尚纬股份	-2.58	7.17	8063800	58656240	55.94	62.04	61.97	电气设备	0.32	
300499	高澜股份	3.03	11.23	26068096	291543232	74.50	72.95	69.62	工业机械	0.31	
000056	皇庭国际	10.12	3.59	63777244	224261552	79.97	70.91	60.86	房地产	0.32	
300517	海波重科	-3.79	14.71	5686228	84620920	69.07	66.99	63.59	建筑	0.31	
002125	湘潭电化	-8.06	10.50	100221808	1125504768	53.93	61.42	63.74	化工	0.31	
