历史行情.指标排序沪深Ａ股 日期:2021-08-13,五 指标:RSI(6,12,24)   XFHY EXTRS20(20)   
代码   	名称	 涨幅%	 收盘	成交量	总金额	RSI1	RSI2	RSI3	细分行业	EXTRS20	
300827	上能电气					97.85	95.15	91.84	电气设备	2.95	
000792	盐湖股份	3.18	37.32	456374656	17080532992	88.80	88.05	86.32	化工	2.87	
300693	盛弘股份	-6.51	54.88	35914072	2024877568	73.97	78.39	78.79	电气设备	1.73	
300508	维宏股份	-5.49	66.99	6304108	425206880	74.68	77.26	76.57	软件服务	1.46	
002455	百川股份	-6.75	24.30	113399312	2786060288	74.29	78.90	79.35	化工	1.36	
300648	星云股份	5.64	79.10	26125716	2045186816	80.29	79.39	77.31	电器仪表	1.27	
300681	英搏尔	1.22	78.18	2234617	174744352	66.71	69.65	70.71	汽车类	1.20	
300343	联创股份	-2.16	18.58	130802672	2467392000	77.12	78.22	78.73	化工	1.18	
603396	金辰股份	7.45	143.02	6227358	886139648	83.65	79.88	77.99	工业机械	1.13	
002518	科士达	9.99	41.38	47959588	1924584064	89.93	86.15	83.73	电气设备	1.12	
688233	神工股份	-4.94	97.99	5896618	587433408	74.95	76.89	75.37	化工	1.05	
300471	厚普股份	11.13	27.95	76312280	2007765760	93.72	86.58	79.76	工业机械	1.04	
300619	金银河	20.01	50.50	13918073	642665728	77.09	76.02	73.38	工业机械	0.99	
002667	鞍重股份	10.01	36.06	28194564	959026496	97.19	91.23	84.26	工程机械	0.96	
300153	科泰电源	-8.40	15.92	83112120	1371234944	75.11	74.03	70.82	电气设备	0.91	
688556	高测股份	-8.19	42.25	9881177	431114848	70.39	72.33	71.17	工业机械	0.90	
000829	天音控股	5.41	15.40	118351896	1854447744	87.78	84.30	78.28	商业连锁	0.84	
002837	英维克	-3.10	34.68	22400212	768164864	67.10	74.10	74.91	工业机械	0.83	
601126	四方股份	3.54	16.37	125527272	2103720064	92.85	86.66	80.98	电气设备	0.82	
002176	江特电机	2.80	22.80	232546832	5297351168	57.89	65.81	69.23	电气设备	0.79	
600366	宁波韵升	-2.32	13.08	154744160	2021176704	80.13	77.82	75.33	矿物制品	0.78	
002335	科华数据	-6.91	38.54	63519048	2449032448	71.64	73.22	71.58	电气设备	0.78	
002006	精功科技	10.01	16.26	50809376	810752448	83.19	83.46	81.13	工业机械	0.77	
