id,code
481,1010101
425,1010102
2,1010201
426,1010202
3,1010301
427,1010302
4,1010401
428,1010402
5,1010501
429,1010502
6,1010601
430,1010602
7,1010701
431,1010702
8,1010801
432,1010802
9,1010901
433,1010902
10,1011001
434,1011002
11,1011101
435,1011102
12,1011201
436,1011202
13,1011301
437,1011302
14,1011401
438,1011402
15,1011501
439,1011502
16,1011601
440,1011602
17,1011701
441,1011702
442,1020101
462,1020102
443,1020201
463,1020202
444,1020301
20,1020302
445,1020401
465,1020402
446,1020501
466,1020502
447,1020601
467,1020602
448,1020701
468,1020702
449,1020801
469,1020802
450,1020901
470,1020902
451,1021001
471,1021002
452,1021101
28,1021102
453,1021201
473,1021202
454,1021301
474,1021302
455,1021401
475,1021402
456,1021501
476,1021502
457,1021601
477,1021602
458,1021701
478,1021702
459,1021801
479,1021802
35,2010101
303,2010102
36,2010201
304,2010202
37,2010301
305,2010302
38,2010401
306,2010402
39,2010501
307,2010502
40,2010601
308,2010602
41,2010701
309,2010702
42,2010801
310,2010802
43,2010901
311,2010902
44,2011001
312,2011002
482,2020101
45,2020102
483,2020201
46,2020202
484,2020301
47,2020302
485,2020401
48,2020402
486,2020501
49,2020502
487,2020601
50,2020602
488,2020701
51,2020702
489,2020801
52,2020802
490,2020901
53,2020902
491,2021001
54,2021002
55,3010101
65,3010102
56,3010201
66,3010202
57,3010301
67,3010302
58,3010401
68,3010402
59,3010501
69,3010502
60,3010601
70,3010602
61,3010701
71,3010702
62,3010801
72,3010802
63,3010901
73,3010902
64,3011001
74,3011002
75,4010101
85,4010102
76,4010201
86,4010202
77,4010301
87,4010302
78,4010401
88,4010402
79,4010501
89,4010502
80,4010601
90,4010602
81,4010701
91,4010702
82,4010801
92,4010802
83,4010901
93,4010902
84,4011001
94,4011002
285,5010101
294,5010102
286,5010201
295,5010202
287,5010301
296,5010302
288,5010401
297,5010402
289,5010501
298,5010502
290,5010601
299,5010602
291,5010701
300,5010702
292,5010801
301,5010802
293,5010901
302,5010902
95,6010101
109,6010102
96,6010201
110,6010202
97,6010301
111,6010302
98,6010401
112,6010402
99,6010501
113,6010502
100,6010601
114,6010602
101,6010701
115,6010702
102,6010801
116,6010802
103,6010901
117,6010902
104,6011001
118,6011002
105,6011101
119,6011102
106,6011201
120,6011202
107,6011301
121,6011302
108,6011401
122,6011402
492,6011501
493,6011502
123,6020101
137,6020102
124,6020201
138,6020202
125,6020301
139,6020302
126,6020401
140,6020402
127,6020501
141,6020502
128,6020601
142,6020602
129,6020701
143,6020702
130,6020801
144,6020802
131,6020901
145,6020902
132,6021001
146,6021002
133,6021101
147,6021102
134,6021201
148,6021202
135,6021301
149,6021302
136,6021401
150,6021402
233,7010101
246,7010102
234,7010201
247,7010202
235,7010301
248,7010302
236,7010401
249,7010402
237,7010501
250,7010502
238,7010601
251,7010602
239,7010701
252,7010702
240,7010801
253,7010802
241,7010901
254,7010902
242,7011001
255,7011002
243,7011101
256,7011102
244,7011201
257,7011202
245,7011301
258,7011302
494,7011401
495,7011402
259,7020101
272,7020102
260,7020201
273,7020202
261,7020301
274,7020302
262,7020401
275,7020402
263,7020501
276,7020502
264,7020601
277,7020602
265,7020701
278,7020702
266,7020801
279,7020802
267,7020901
280,7020902
268,7021001
281,7021002
269,7021101
282,7021102
270,7021201
283,7021202
271,7021301
284,7021302
3137,7022002
151,8010101
167,8010102
152,8010201
168,8010202
153,8010301
169,8010302
154,8010401
170,8010402
155,8010501
171,8010502
156,8010601
172,8010602
157,8010701
173,8010702
158,8010801
174,8010802
159,8010901
175,8010902
160,8011001
176,8011002
161,8011101
177,8011102
162,8011201
178,8011202
163,8011301
179,8011302
164,8011401
180,8011402
165,8011501
181,8011502
166,8011601
182,8011602
199,8020101
216,8020102
200,8020201
217,8020202
201,8020301
218,8020302
202,8020401
219,8020402
203,8020501
220,8020502
204,8020601
221,8020602
205,8020701
222,8020702
206,8020801
223,8020802
207,8020901
224,8020902
208,8021001
225,8021002
209,8021101
226,8021102
210,8021201
227,8021202
211,8021301
228,8021302
212,8021401
229,8021402
213,8021501
230,8021502
198,8021601
231,8021602
215,8021701
232,8021702
3138,8022002
313,9010101
331,9010102
314,9010201
332,9010202
315,9010301
333,9010302
316,9010401
334,9010402
317,9010501
335,9010502
318,9010601
336,9010602
319,9010701
337,9010702
320,9010801
338,9010802
321,9010901
339,9010902
322,9011001
340,9011002
323,9011101
341,9011102
324,9011201
342,9011202
325,9011301
343,9011302
326,9011401
344,9011402
327,9011501
345,9011502
328,9011601
346,9011602
329,9011701
347,9011702
330,9011801
348,9011802
349,9020101
367,9020102
350,9020201
368,9020202
351,9020301
369,9020302
352,9020401
370,9020402
353,9020501
371,9020502
354,9020601
372,9020602
355,9020701
373,9020702
356,9020801
374,9020802
357,9020901
375,9020902
358,9021001
376,9021002
359,9021101
377,9021102
360,9021201
378,9021202
361,9021301
379,9021302
362,9021401
380,9021402
363,9021501
381,9021502
364,9021601
382,9021602
365,9021701
383,9021702
366,9021801
384,9021802
385,11010101
405,11010102
386,11010201
406,11010202
387,11010301
407,11010302
388,11010401
408,11010402
389,11010501
409,11010502
390,11010601
410,11010602
391,11010701
411,11010702
392,11010801
412,11010802
393,11010901
413,11010902
394,11011001
414,11011002
395,11011101
415,11011102
396,11011201
416,11011202
397,11011301
417,11011302
398,11011401
418,11011402
399,11011501
419,11011502
400,11011601
420,11011602
401,11011701
421,11011702
402,11011801
422,11011802
403,11011901
423,11011902
404,11012001
424,11012002
460,12010101
461,12010201
